company_name,company_country,company_employees,company_website,company_status,file_name
AURUM OU,"['ESTONIA', 'ESTONIA']","['39', nan]",https://www.info-clipper.com/en/company/estonia/aurum-ou.eedao69xw.html,"['Tallinn', 'Single address']",wissel_aziende_info_clipper
MERCK SHARP & DOHME (I.A.) LLC,"['New Jersey(NJ)', 'UNITED STATES']","['40', nan]",https://www.info-clipper.com/en/company/united-states/merck-sharp-dohme-llc.usdm4mki.html,"['RAHWAY', 'Headquarter']",wissel_aziende_info_clipper
Nottinghamshire Healthcare N H S Foundation Trust,"['UNITED KINGDOM', 'UNITED KINGDOM']","['41', nan]",https://www.info-clipper.com/en/company/united-kingdom/nottinghamshire-healthcare-n-h-s-foundation-trust.gbd3u0k45.html,"['NOTTINGHAM', 'Headquarter']",wissel_aziende_info_clipper
EIFFAGE INFRAESTRUCTURAS SA,"['ITALY', 'ITALY']","['42', nan]",https://www.info-clipper.com/en/company/italy/eiffage-infraestructuras-sa.itd78mbsm.html,"['LIVORNO', 'Single address']",wissel_aziende_info_clipper
BOLT TECHNOLOGY OU,"['ESTONIA', 'ESTONIA']","['43', nan]",https://www.info-clipper.com/en/company/estonia/bolt-technology-ou.eed8d5oj6.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
MERCK SHARP & DOHME (ARGENTINA) INC.,"['New Jersey(NJ)', 'UNITED STATES']","['44', nan]",https://www.info-clipper.com/en/company/united-states/merck-sharp-dohme-inc.usdczdpty.html,"['RAHWAY', 'Headquarter']",wissel_aziende_info_clipper
LIBERTY FINANCE MANAGEMENT (LIG) LTD,"['UNITED KINGDOM', 'UNITED KINGDOM']","['45', nan]",https://www.info-clipper.com/en/company/united-kingdom/liberty-finance-management-ltd.gbd3nr7ik.html,"['LONDON', 'Single address']",wissel_aziende_info_clipper
SAFE SPA,"['ITALY', 'ITALY']","['46', nan]",https://www.info-clipper.com/en/company/italy/safe-spa.itd5m8l01.html,"['SAN GIOVANNI IN PERSICETO', 'Headquarter']",wissel_aziende_info_clipper
GAME MACHINE OU,"['ESTONIA', 'ESTONIA']","['47', nan]",https://www.info-clipper.com/en/company/estonia/game-machine-ou.eed604i0t.html,"['Tallinn', 'Headquarter']",wissel_aziende_info_clipper
HL MANDO AMERICA CORPORATION,"['Alabama(AL)', 'UNITED STATES']","['48', 'MANDO']",https://www.info-clipper.com/en/company/united-states/hl-mando-america-corporation.usdfdctrs.html,"['OPELIKA', 'Headquarter']",wissel_aziende_info_clipper
