company_name,company_industry,company_legal_form,company_headquarters,file_name
iB Hubs,IT Services & Consulting,Private,"Gurgaon, India",AmbitionBox
NSL Textiles,Fashion & Textile,Private,"Guntur, Andhra Pradesh, India",AmbitionBox
Thomson Press India,Printing & Publishing,Private,"Faridabad, India",AmbitionBox
FarEye,IT Services & Consulting,Private,"Noida,Uttar Pradesh, India",AmbitionBox
Ginni Filaments,Fashion & Textile,Public,"Noida, Uttar Pradesh, India",AmbitionBox
Tangoe,IT Services & Consulting,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Food Corporation of India,Government,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Emerald Jewel Industry India,Jewellery,Public,"Coimbatore, Tamil Nadu, India",AmbitionBox
Suven Life Sciences,Pharma,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
L and T Chiyoda,Oil & Gas,,,AmbitionBox
First American Title,Insurance,Private,"Santa Ana, UnitedStates",AmbitionBox
Chassis Brakes International,Auto Components,Private,"Amsterdam, Netherlands",AmbitionBox
LUX Industries,Fashion & Textile,Public,"Kolkata, India",AmbitionBox
Knoldus Software,IT Services & Consulting,Private,"Mississauga, Ontario, Canada",AmbitionBox
Shanthi Gears,Auto Components,Public,"Coimbatore, Tamil Nadu, India",AmbitionBox
Parker Hannifin,Defence & Aerospace,Private,"Cleveland, Ohio, United States (USA)",AmbitionBox
Delhi International Airport,Aviation,,"New Delhi, India",AmbitionBox
FreshMenu,Internet,Private,"Bangalore,Karnataka, India",AmbitionBox
Walter Bushnell,Pharma,Private,"Gurgaon, India",AmbitionBox
Aurigene Discovery Technologies,Pharma,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Capricorn Logistics,Logistics,Private,"Mumbai, Maharashtra, India",AmbitionBox
SSEM,Industrial Machinery,Private,"Riyadh, Saudi Arabia",AmbitionBox
Kesari Tours,Travel & Tourism,Private,"Mumbai, Maharashtra, India",AmbitionBox
Swaraj Engines,Automobile,Public,"Mohali, India",AmbitionBox
Shiva Pharmachem,Chemicals,Public,"Vadodara/Baroda, Gujarat, India",AmbitionBox
Covalent Laboratories,Pharma,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Heavy Engineering Corporation,Engineering & Construction,Private,"Ranchi, Jharkhand, India",AmbitionBox
Tata Institute of Social Sciences,Education & Training,Private,"Mumbai, Maharashtra, India",AmbitionBox
Sophos Technologies,IT Services & Consulting,Private,"Abingdon, United Kingdom, India",AmbitionBox
Khanna Paper Mills,Pulp & Paper,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
C. L. GUPTA EXPORTS,Import & Export,Public,"New Delhi, India",AmbitionBox
Foiwe Info Global Solution,IT Services & Consulting,LLP,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Atidan Technologies,IT Services & Consulting,Private,"Mumbai, Maharashtra, India",AmbitionBox
Maksat Technologies,Telecom,Private,"New Delhi, India",AmbitionBox
Shanthi Gears,Auto Components,Public,"Coimbatore, Tamil Nadu, India",AmbitionBox
Walter Bushnell,Pharma,Private,"Gurgaon, India",AmbitionBox
NSL Textiles,Fashion & Textile,Private,"Guntur, Andhra Pradesh, India",AmbitionBox
OASYS Cybernetics,IT Services & Consulting,Private,"Chennai, Tamil Nadu, India",AmbitionBox
LKQ INDIA,Auto Components,Private,"Chicago, Illinois, India",AmbitionBox
L&T Power Transmission & Distribution,Power,,India,AmbitionBox
Netoyed,,,,AmbitionBox
CBSI,Recruitment,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Novel Office,Real Estate,,"Bengaluru/Bangalore, Karnataka, India",AmbitionBox
Texspin Bearings,Auto Components,Private,"Ahmedabad, Gujarat, India",AmbitionBox
Bank Muscat,Banking,Private,"Muscat, Oman",AmbitionBox
Leonia Holistic Destination,Hospitality,Private,"Hyderabad, India",AmbitionBox
Integra Micro Systems,IT Services & Consulting,Private,"Bengaluru, India",AmbitionBox
SNVA Ventures,IT Services & Consulting,Private,"Waldorf, United States Of America",AmbitionBox
Caplin Point Laboratories,Pharma,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Bajaj Healthcare,Pharma,Public,"Thane, Maharashtra, India",AmbitionBox
Mahavir Die Casters,Auto Components,Private,"Faridabad , India",AmbitionBox
ACT Plast Paints,Chemicals,Private,"Kancheepuram, India",AmbitionBox
Kalyani Maxion Wheels,Auto Components,,"Königswinter, Germany",AmbitionBox
TCTS,Telecom,Public,"Mumbai, Maharashtra, India",AmbitionBox
Gpt Infraprojects,Engineering & Construction,Public,"Kolkata, West Bengal, India",AmbitionBox
Olive Bar & Kitchen,Hospitality,Private,"Mumbai, India",AmbitionBox
Autocop India,Semiconductors,Private,"Mumbai , India",AmbitionBox
RND Softech,BPO,Private,"Coimbatore, Tamil Nadu, India",AmbitionBox
Chemie Tech,Oil & Gas,Private,"Sharjah, UAE",AmbitionBox
UDS,Facility Management Services,Private,"Chennai, India",AmbitionBox
Innovatiview,IT Services & Consulting,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Faber India,Consumer Electronics & Appliances,Private,"Pune, India",AmbitionBox
CyberSWIFT Infotech,IT Services & Consulting,Private,"Worthington, Ohio, United States (USA)",AmbitionBox
Hindustan Foods,FMCG,Public,"Mumbai, Maharashtra, India",AmbitionBox
Kazo Fashion,Fashion & Textile,Private,"Delhi,NCT, India",AmbitionBox
AVRA Laboratories,Pharma,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Naprod Life Sciences,Pharma,Private,"Mumbai, India",AmbitionBox
Ahresty India,Auto Components,Private,"Rewari, Haryana, India",AmbitionBox
Echs Polyclinic,Healthcare,Public,"New Delhi, India",AmbitionBox
University of Engineering and Management,Education & Training,,"Kolkata, India",AmbitionBox
Safeducate,Education & Training,Private,"New Delhi, India",AmbitionBox
Spice Money,Financial Services,,"Noida, Uttar Pradesh, India",AmbitionBox
SEABIRD LOGISOLUTIONS,Logistics,Public,"Mumbai, Maharashtra, India",AmbitionBox
Aditya Birla Nuvo,Fashion & Textile,Public,"Mumbai, Maharashtra, India",AmbitionBox
Continental Hospitals,Healthcare,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Hidden Brains InfoTech,IT Services & Consulting,Private,"Ahmedabad, Gujarat, India",AmbitionBox
Semac Consultants,Engineering & Construction,Private,"Gurugram, India",AmbitionBox
Jabong,Internet,Private,"Gurgaon,Haryana, India",AmbitionBox
Miraj Group,FMCG,Private,"Nathdwara, Rajasthan, India",AmbitionBox
Locuz Enterprise Solutions,IT Services & Consulting,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Mafatlal Industries,Retail,Public,"Mumbai, Maharashtra, India",AmbitionBox
Allen Solly,Fashion & Textile,Public,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
KisanKraft Machine Tools,Industrial Machinery,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
KMC Constructions,Engineering & Construction,Public,"Chennai, Tamil Nadu, India",AmbitionBox
United Bank of India,Banking,Public,"Kolkata, West Bengal, India",AmbitionBox
Toyota Financial Services,Financial Services,Public,"Chandler, United States",AmbitionBox
FCI CCM,IT Services & Consulting,,"New York, New York, India",AmbitionBox
Indo Count Industries,Fashion & Textile,Public,"Mumbai, Maharashtra, India",AmbitionBox
Ganges Internationale,Power,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Lion Engineering Consultants,Engineering & Construction,,"Bhopal, India",AmbitionBox
Narula Infrastructure,Engineering & Construction,Private,"Kolkata, India",AmbitionBox
Five Splash Infotech,IT Services & Consulting,,,AmbitionBox
POWERGRID,Power,Public,"Gurgaon, India",AmbitionBox
Rotostat Services,Industrial Machinery,Private,"Mumbai, Maharashtra, India",AmbitionBox
Ganges Internationale,Power,Private,"Delhi/NCR, Delhi, India",AmbitionBox
FCI CCM,IT Services & Consulting,,"New York, New York, India",AmbitionBox
Centelon,IT Services & Consulting,LLP,"Melbourne, Australia",AmbitionBox
Miraj Group,FMCG,Private,"Nathdwara, Rajasthan, India",AmbitionBox
Locuz Enterprise Solutions,IT Services & Consulting,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Coverfox,Insurance,Private,"Mumbai,Maharashtra, India",AmbitionBox
United Bank of India,Banking,Public,"Kolkata, West Bengal, India",AmbitionBox
Podar Jumbo Kids,Education & Training,Private,"Mumbai, India",AmbitionBox
Narula Infrastructure,Engineering & Construction,Private,"Kolkata, India",AmbitionBox
Escalon Business Services,Analytics & KPO,Private,"Mohali, Punjab, India",AmbitionBox
Annexmed,BPO,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Continental Hospitals,Healthcare,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Hidden Brains InfoTech,IT Services & Consulting,Private,"Ahmedabad, Gujarat, India",AmbitionBox
Semac Consultants,Engineering & Construction,Private,"Gurugram, India",AmbitionBox
POWERGRID,Power,Public,"Gurgaon, India",AmbitionBox
St Regis,Hospitality,Private,"New York, United States",AmbitionBox
GAO Tek,Electrical Equipment,,"New York, United States",AmbitionBox
Mold-Tek Technologies,IT Services & Consulting,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Five Splash Infotech,IT Services & Consulting,,,AmbitionBox
Rotostat Services,Industrial Machinery,Private,"Mumbai, Maharashtra, India",AmbitionBox
Nielsen Sports,Sports & Recreation,Private,"Bangalore,Karnataka, India",AmbitionBox
Wilo Mather and Platt Pumps,Industrial Machinery,Public,"Dortmund, Germany",AmbitionBox
Lumino Industries,Electrical Equipment,Public,"Kolkata, West Bengal, India",AmbitionBox
Kaveri Seed Company,Chemicals / Agri Inputs,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
SYNCHRONIZED SUPPLY SYSTEMS,Logistics,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Paytm Mall,Internet,,"Delhi,NCT, India",AmbitionBox
Arzooo.com,Internet,,"Bangalore,Karnataka, India",AmbitionBox
Visa,FinTech,Public,"Foster City,California, United States",AmbitionBox
MMTC-PAMP,Metals & Mining,Private,"New Delhi, India",AmbitionBox
Fedders Lloyd,Engineering & Construction,Public,"Delhi/NCR, New Delhi, India",AmbitionBox
Cleartrip,Internet,Private,"Mumbai,Maharashtra, India",AmbitionBox
Ajnara India,Real Estate,Public,"Noida, Uttar Pradesh, India",AmbitionBox
Sunera Technologies,IT Services & Consulting,Private,"Troy, United States",AmbitionBox
Ginger Hotels,Hospitality,Private,"Mumbai, India",AmbitionBox
Synokem Pharmaceuticals,Pharma,Private,"New Delhi, India",AmbitionBox
CDM Smith,Engineering & Construction,Private,"Boston, United States",AmbitionBox
Development Consultants,IT Services & Consulting,Private,"Kolkata, India",AmbitionBox
Aspiring Minds,Software Product,Private,"San Jose,California, United States",AmbitionBox
Suminter India Organics,FMCG,Private,"Mumbai, Maharashtra, India",AmbitionBox
Manba Finance,NBFC,Public,"Mumbai, Maharashtra, India",AmbitionBox
National Highways Authority of India,Engineering & Construction,Public,"Delhi/NCR, Delhi, India",AmbitionBox
Bambino Agro Industries,Food Processing,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Trimble,IT Services & Consulting,Private,"Sunnyvale, California, USA",AmbitionBox
Xome,Internet,Private,"Lewisville, Texas, United States (USA)",AmbitionBox
Wabtec,Logistics,Private,"Wilmerding, Pennsylvania, United States (USA)",AmbitionBox
Ford Motor Credit Company,Financial Services,Private,"Dearborn, United States",AmbitionBox
Terrier Security Services,Law Enforcement & Security,Private,"Bangalore, India",AmbitionBox
Suhail Bahwan Automobiles,Auto Components,LLC,"Muscat, Oman",AmbitionBox
Indigo Paints,Chemicals,Private,"Pune, Maharashtra, India",AmbitionBox
Anand CY Myutec Automotive,Auto Components,,"Gurugram, India",AmbitionBox
Flemingo Duty Free Shop,Retail,Private,"Navi Mumbai, Maharashtra, India",AmbitionBox
TLC Relationship Management,Hospitality,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Impressions Services,Facility Management Services,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Shimizu,Engineering & Construction,Private,"Chuo-ku, Tokyo, Japan",AmbitionBox
J. C. Penney,Retail,Private,"Plano, Texas, United States (USA)",AmbitionBox
Goibibo,Internet,Private,"Gurgaon,Haryana, India",AmbitionBox
Avalara Technologies,IT Services & Consulting,Private,"Seattle,Washington, United States",AmbitionBox
Malabar Group Of Companies,Jewellery,Private,"Calicut/Kozhikode, Kerala, India",AmbitionBox
Logicon Facility Management,Facility Management Services,,"Pune, India",AmbitionBox
Sagar Hospital,Healthcare,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
SRR Projects,Engineering & Construction,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Anand CY Myutec Automotive,Auto Components,,"Gurugram, India",AmbitionBox
Bambino Agro Industries,Food Processing,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Manba Finance,NBFC,Public,"Mumbai, Maharashtra, India",AmbitionBox
Addverb Technologies,Industrial Automation,Private,"Noida,Uttar Pradesh, India",AmbitionBox
Ameyo,Software Product,Private,"Gurgaon,Haryana, India",AmbitionBox
IL&FS Skills Development Corporation,Education & Training,,"Mumbai, India",AmbitionBox
Chemtrols Industries,Industrial Automation,Private,"Mumbai, Maharashtra, India",AmbitionBox
Amrapali Group,Real Estate,Private,"Noida, Uttar Pradesh, India",AmbitionBox
MKCL,Education & Training,Government,"Pune, India",AmbitionBox
Basix,Financial Services,Private,"Hyderabad, India",AmbitionBox
ITW India,Industrial Machinery,Private,"Glenview, IL, United States (USA)",AmbitionBox
AABSyS IT,IT Services & Consulting,Private,"Bhubaneswar, Odisha, India",AmbitionBox
L&T IDPL,Engineering & Construction,Private,"Chennai, India",AmbitionBox
Cethar,Industrial Machinery,Private,"Tiruchirapalli , India",AmbitionBox
Epitome Components,Electrical Equipment,Private,"Ahmednagar, Maharashtra, India",AmbitionBox
Apexon,IT Services & Consulting,,"Santa Clara, California, United States (USA)",AmbitionBox
DDB Mudra Group,Marketing & Advertising,Private,"Mumbai, Maharashtra, India",AmbitionBox
Parijat Industries (India),Chemicals,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Peninsula Land,Real Estate,Public,"Mumbai, India",AmbitionBox
India Power Corporation,Power,Public,"Kolkata, West Bengal, India",AmbitionBox
Hermes I Tickets,Internet,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Petronas Lubricants,Petrochemicals,,"Kuala Lumpur, Malaysia",AmbitionBox
Diagno Labs,Healthcare,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Sam India Built Well,Engineering & Construction,Private,"New Delhi, India",AmbitionBox
Intelux Electronics,Electronics Manufacturing,Private,"Pune, Maharashtra, India",AmbitionBox
Bombay Stock Exchange,Financial Services,,"Mumbai, India",AmbitionBox
Acidaes Solutions,IT Services & Consulting,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Adcock Ingram,Pharma,,"Abu Dhabi, Gauteng, United Arab Emirates (UAE)",AmbitionBox
Radix Electrosystems,Electronics Manufacturing,Private,"Navi Mumbai, Maharashtra, India",AmbitionBox
Intelux Electronics,Electronics Manufacturing,Private,"Pune, Maharashtra, India",AmbitionBox
ITW India,Industrial Machinery,Private,"Glenview, IL, United States (USA)",AmbitionBox
Bombay Stock Exchange,Financial Services,,"Mumbai, India",AmbitionBox
DDB Mudra Group,Marketing & Advertising,Private,"Mumbai, Maharashtra, India",AmbitionBox
Punjab and Maharashtra Co-operative Bank,Banking,Public,"Mumbai, Maharashtra, India",AmbitionBox
Peninsula Land,Real Estate,Public,"Mumbai, India",AmbitionBox
Parijat Industries (India),Chemicals,Private,"Delhi/NCR, Delhi, India",AmbitionBox
India Power Corporation,Power,Public,"Kolkata, West Bengal, India",AmbitionBox
Petronas Lubricants,Petrochemicals,,"Kuala Lumpur, Malaysia",AmbitionBox
Sam India Built Well,Engineering & Construction,Private,"New Delhi, India",AmbitionBox
Diagno Labs,Healthcare,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Hermes I Tickets,Internet,Private,"Chennai, Tamil Nadu, India",AmbitionBox
C3I Solutions,BPO,Private,"Horsham, United States",AmbitionBox
Webdew,IT Services & Consulting,Private,"Mohali, Punjab, India",AmbitionBox
Motherhood Hospital,Healthcare,,"Bangalore,Karnataka, India",AmbitionBox
A&A Business Consulting,Management Consulting,Private,"Mumbai, Maharashtra, India",AmbitionBox
OLX Autos,,,,AmbitionBox
Kriti Industries,Building Material,One person company,"Indore, India",AmbitionBox
Milkbasket,Internet,Private,"Gurgaon,Haryana, India",AmbitionBox
Armstrong International,Financial Services,Private,"Three Rivers, MI, United States (USA)",AmbitionBox
Mayfair Hotels & Resorts,Hospitality,Public,"Bhubaneswar, India",AmbitionBox
InnovationM,IT Services & Consulting,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Ananth Technologies,IT Services & Consulting,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Phenix Construction Technologies,Engineering & Construction,Private,"Ahmedabad, Gujarat, India",AmbitionBox
SeQuent Scientific,Pharma,Public,"Mumbai, Maharashtra, India",AmbitionBox
Butterfly Gandhimathi Appliances,Consumer Electronics & Appliances,Public,"Chennai, Tamil Nadu, India",AmbitionBox
Federal Mogul Powertrain,Auto Components,,"Lake Forest, UnitedStates",AmbitionBox
Pathfinder Business Analysis,IT Services & Consulting,,"Coimbatore, India",AmbitionBox
Avanse Financial Services,Financial Services,Private,"Mumbai,Maharashtra, India",AmbitionBox
Emerson Innovation Center,Industrial Automation,,"Pune, India",AmbitionBox
Nehru Yuva Kendra Sangathan,Non-Profit,,"New Delhi, India",AmbitionBox
Msc Cruises,Ports & Shipping,,"Geneva, Switzerland",AmbitionBox
The Millennium School,Education & Training,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Spectraforce Technologies,IT Services & Consulting,Private,"Raleigh, United States (USA)",AmbitionBox
Harsco,Waste Management,Private,"Camp Hill, Pennsylvania, United States Of America",AmbitionBox
RattanIndia Power,Metals & Mining,Public,"Delhi/NCR, Delhi, India",AmbitionBox
IAF,Defence & Aerospace,Public,"New Delhi, India",AmbitionBox
Epson,IT Services & Consulting,,"Suwa, Japan",AmbitionBox
Matix Fertilisers & Chemicals,Chemicals,Private,"Mumbai, Maharashtra, India",AmbitionBox
Bekaert Industries,Electrical Equipment,Private,"Zwevegem, Belgium",AmbitionBox
Technique Control Facility Management,Facility Management Services,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Sharp Business Systems India,Consumer Electronics & Appliances,Private,"Noida, India",AmbitionBox
Mayur Uniquoters,Leather,Public,"Jaipur, Rajasthan, India",AmbitionBox
Autoline Industries,Auto Components,Public,"Pune, Maharashtra, India",AmbitionBox
Madras Engineering Industries,Auto Components,,"Chennai, India",AmbitionBox
Biophore India Pharmaceuticals,Pharma,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Dalmia Bharat Sugar & Industries,Food Processing,Public,"New Delhi, India",AmbitionBox
Rehau Polymers,Engineering & Construction,Private,"Singapore, Singapore",AmbitionBox
Nova IVI Fertility,Healthcare,Private,"Bangalore,Karnataka, India",AmbitionBox
Azad Engineering,Engineering & Construction,Private,"Hyderabad,Telangana, India",AmbitionBox
Education Culture,Education & Training,Private,"Ludhiana, Punjab, India",AmbitionBox
Ketto,Internet,Private,"Mumbai,Maharashtra, India",AmbitionBox
Xalta Food And Beverages,Beverage,Private,"New Delhi, India",AmbitionBox
Ceat Specialty Tyres,Auto Components,Private,"Mumbai, India",AmbitionBox
Country Club Hospitality & Holidays,Hospitality,Private,"Hyderabad, India",AmbitionBox
Rama University,Education & Training,Private,"Kanpur, Uttar Pradesh, India",AmbitionBox
CityMall,Internet,Private,"Gurgaon,Haryana, India",AmbitionBox
L&T Smart World & Communication,IT Services & Consulting,,,AmbitionBox
Busibud,Emerging Technologies,Private,"Greater Los Angeles, California, United States (USA)",AmbitionBox
TDS Lithium-Ion Battery,Auto Components,,"Ahmedabad,Gujarat, India",AmbitionBox
MMACH Design,IT Services & Consulting,,,AmbitionBox
Ican BPO,BPO,Private,"Thane, India",AmbitionBox
"L&T Construction, Mining and Industrial Machinery",Industrial Machinery,,,AmbitionBox
Rithwik Projects,Engineering & Construction,,"Hyderabad, India",AmbitionBox
GVK Group,Engineering & Construction,Public,"Hyderabad, India",AmbitionBox
GD Goenka University,Education & Training,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Software AG,IT Services & Consulting,Private,"Darmstadt,Hesse, Germany",AmbitionBox
Jeena & Company,Logistics,Private,"Mumbai, India",AmbitionBox
Tecumseh Products,Industrial Machinery,Private,"Ann Arbor, Michigan, United States (USA)",AmbitionBox
Sand Martin Consultants,BPO,,"New Delhi, India",AmbitionBox
Fabtech Projects & Engineers,Engineering & Construction,Private,"Pune, Maharashtra, India",AmbitionBox
EVOSYS,IT Services & Consulting,Private,"Ahmedabad, Gujarat, India",AmbitionBox
G.M.Pens International,Other,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Ramoji Film City,Media & Entertainment,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Virinchi Technologies,IT Services & Consulting,Private,"Edison, United States (USA)",AmbitionBox
Kinapse,Pharma,Private,"Farnborough, England",AmbitionBox
Alf Engineering,Auto Components,Private,"Nasik/Nashik, Maharashtra, India",AmbitionBox
Atos Technologies,,,,AmbitionBox
Connect Broadband,Telecom,Public,"Ajitgarh, Punjab, India",AmbitionBox
Sony India Software Center,Consumer Electronics & Appliances,,"Bengaluru, India",AmbitionBox
Enaltec Labs,Pharma,,"Navi Mumbai, Maharashtra, India",AmbitionBox
Astegic,IT Services & Consulting,Private,"Falls Church, Virginia, USA",AmbitionBox
Mindcrest,Legal,Private,"Chicago, Illinois, United States Of America",AmbitionBox
IDBI Capital,Financial Services,Public,"Mumbai, Maharashtra, India",AmbitionBox
John Energy,Oil & Gas,Private,"Ahmedabad, India",AmbitionBox
UnitedHealthcare Parekh Insurance TPA,Healthcare,,"Minnesota, United States Of America",AmbitionBox
Bimal Auto Agency,Auto Components,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Msn Pharmachem,,Private,"Hyderabad, India",AmbitionBox
Godrej Appliances,Consumer Electronics & Appliances,Private,"Mumbai, India",AmbitionBox
Fortune Park Hotels,Hospitality,Private,"Gurgaon, India",AmbitionBox
G.M.Pens International,Other,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Tecumseh Products,Industrial Machinery,Private,"Ann Arbor, Michigan, United States (USA)",AmbitionBox
Mindcrest,Legal,Private,"Chicago, Illinois, United States Of America",AmbitionBox
IDBI Capital,Financial Services,Public,"Mumbai, Maharashtra, India",AmbitionBox
Bimal Auto Agency,Auto Components,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
JAY JAY MILLS,Fashion & Textile,Private,"Tirupur/Tiruppur, Tamil Nadu, India",AmbitionBox
Pacific Cyber Technology,Electronics Manufacturing,,"Mumbai, India",AmbitionBox
Msn Pharmachem,,Private,"Hyderabad, India",AmbitionBox
Sony India Software Center,Consumer Electronics & Appliances,,"Bengaluru, India",AmbitionBox
Olectra Greentech,Electrical Equipment,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Sulphur Mills,Agro Chemicals,Public,"Mumbai, Maharashtra, India",AmbitionBox
C DOT,Telecom,,"Delhi/NCR, New Delhi, India",AmbitionBox
MARG ERP,Accounting & Auditing,Public,"New Delhi, India",AmbitionBox
Vishay Precision Transducers,Semiconductors,Public,"Basingstoke, United Kingdom",AmbitionBox
UnitedHealthcare Parekh Insurance TPA,Healthcare,,"Minnesota, United States Of America",AmbitionBox
Sand Martin Consultants,BPO,,"New Delhi, India",AmbitionBox
Ankur Seeds,Agriculture,Private,"Nagpur, India",AmbitionBox
Gapbridge Software Services,IT Services & Consulting,Private,"Bengaluru, Karnataka, India",AmbitionBox
TI METAL FORMING,Auto Components,,"Chennai, Tamil Nadu, India",AmbitionBox
Rudrabhishek Enterprises,Real Estate,Public,"Delhi/NCR, Delhi, India",AmbitionBox
Schneider Electric india,,,,AmbitionBox
ITC Limited - Paperboards Specialty Papers Division,Packaging,Private,"Secunderabad, India",AmbitionBox
SMS Pharmaceuticals,Pharma,Public,"Hyderabad, India",AmbitionBox
Vitesco Technologies,Automobile,Private,"Hannover,Lower Saxony, Germany",AmbitionBox
Trell,Internet,,"Bangalore,Karnataka, India",AmbitionBox
Teachnook,EdTech,,,AmbitionBox
Sowparnika,Real Estate,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
Saleswallah,Education & Training,,"Noida, Uttar Pradesh,",AmbitionBox
World Health Organization,Government,Private,"Geneva, Canton of Geneva, Switzerland",AmbitionBox
SSK Group,FMCG,Private,"Pune, India",AmbitionBox
TC Global,EdTech,Private,"Delhi, India",AmbitionBox
Tata Memorial Hospital,Healthcare,Private,"Mumbai, India",AmbitionBox
UFO Moviez,Media & Entertainment,Public,"Mumbai, Maharashtra, India",AmbitionBox
LimeRoad,Internet,Private,"Gurgaon,Haryana, India",AmbitionBox
Ramee Group of Hotels,Hospitality,Private,"Dubai, United Arab Emirates",AmbitionBox
Droom,Internet,Private,"Gurgaon,Haryana, India",AmbitionBox
AGC Networks,IT Services & Consulting,Public,"Mumbai, India",AmbitionBox
Freecharge,Financial Services,Private,"Gurgaon,Haryana, India",AmbitionBox
SCM Garments,Fashion & Textile,Private,"Agartala, Tripura, India",AmbitionBox
ANR Software,IT Services & Consulting,Private,"Noida, Uttar Pradesh, India",AmbitionBox
Verifone,Financial Services,Private,"Coral Springs, United States",AmbitionBox
S.M. Consultants,Management Consulting,Private,"Bhubaneswar, Odisha, India",AmbitionBox
Sims Hospital,Healthcare,Private,"Chennai, India",AmbitionBox
Horiba India,,Private,"Kyoto, Japan",AmbitionBox
Brinks Arya India,Financial Services,Private,"Coppell, Texas, United States (USA)",AmbitionBox
Gracure Pharmaceuticals,Pharma,Private,"Delhi/NCR, Delhi, India",AmbitionBox
Borgwarner Emission System,Automobile,Private,"Auburn Hills, Michigan, United States (USA)",AmbitionBox
Target Engineering Construction Company,Engineering & Construction,Private,"Abu Dhabi, UnitedArabEmirates",AmbitionBox
Maharashtra State Electricity Transmission Company,Government,Private,"Mumbai, India",AmbitionBox
Suzlon Gujarat Wind Park,Power,Private,"Pune, India",AmbitionBox
Harvest Gold Industries,Food Processing,Private,"New Delhi, India",AmbitionBox
Bliss Gvs Pharma,Pharma,Public,"Mumbai, Maharashtra, India",AmbitionBox
Jbm Auto Components,Auto Components,Private,"Gurgaon, India",AmbitionBox
Eaton Fluid Power,Electrical Equipment,Private,"Dublin, Dublin, Ireland",AmbitionBox
Da Milano Leathers,Leather,,"New Delhi, India",AmbitionBox
Rubicon Research,Clinical Research,Private,"Atlanta,Georgia, United States",AmbitionBox
YFC PROJECTS,Engineering & Construction,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Nirmal Bang,Financial Services,Private,"Kolkata, West Bengal, India",AmbitionBox
TA Digital,IT Services & Consulting,Private,"Newark, California, United States (USA)",AmbitionBox
Beri Udyog,Industrial Machinery,Private,"Karnal, Haryana, India",AmbitionBox
Speciality Restaurants,Hospitality,Public,"Mumbai, Maharashtra, India",AmbitionBox
Tulip Diagnostics,Medical Equipment,Private,"Goa, India",AmbitionBox
More Mega Store,Retail,,"Mumbai,Maharashtra, India",AmbitionBox
Futures Group,Retail,Private,"New York,",AmbitionBox
Advanced Micro Devices,Semiconductors,Private,"Santa Clara,California, United States",AmbitionBox
Clean Harbors,IT Services & Consulting,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
