company_name,company_industry,company_legal_form,company_headquarters,file_name
Bosch,Auto Components,Public,"Gerlingen, Baden-Wuerttemberg, Germany",AmbitionBox
Megha Engineering & Infrastructures,Engineering & Construction,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
Omega Healthcare,IT Services & Consulting,Private,"Florida, UnitedStates",AmbitionBox
L&T Construction,Engineering & Construction,Public,"Chennai, India",AmbitionBox
Atos Syntel,IT Services & Consulting,Private,"Troy, Michigan, United States (USA)",AmbitionBox
D Mart,Retail,Private,"Mumbai, Maharashtra, India",AmbitionBox
Manappuram Finance,NBFC,Public,"Thrissur/Trichur, Kerala, India",AmbitionBox
SBI Cards & Payment Services,FinTech,Government,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Samsung,Consumer Electronics & Appliances,Public,"Seoul, South Korea",AmbitionBox
BNY Mellon,IT Services & Consulting,Private,"New York City, New York, United States (USA)",AmbitionBox
Cummins,Automobile,,"Columbus, Indiana, United States (USA)",AmbitionBox
Fullerton India,Financial Services,Private,"Mumbai, India",AmbitionBox
IQVIA,Clinical Research,Partnership,"Durham, United States",AmbitionBox
Nagarro,IT Services & Consulting,Private,"Munich, Bavaria, Germany",AmbitionBox
Viatris,Pharma,,"Canonsburg, Pennsylvania, United States (USA)",AmbitionBox
Aditya Birla Fashion and Retail,Retail,Private,"Mumbai, India",AmbitionBox
BigBasket,Internet,Private,"Bangalore,Karnataka, India",AmbitionBox
Amdocs,Software Product,Private,"Chesterfield,Missouri, United States",AmbitionBox
CBRE,Real Estate,Private,"Los Angeles, California, United States (USA)",AmbitionBox
Bosch Global Software Technologies,Software Product,Private,"Gerlingen, Germany",AmbitionBox
Indiamart Intermesh,Internet,Private,"Noida,Uttar Pradesh, India",AmbitionBox
Godrej & Boyce Manufacturing,FMCG,Private,"Mumbai, Maharashtra, India",AmbitionBox
Schneider Electric,Industrial Automation,Private,"Paris, France",AmbitionBox
Royal Enfield,Automobile,Private,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
UST,IT Services & Consulting,Private,"Aliso Viejo, California, United States (USA)",AmbitionBox
Ford Motor,Other,Public,"Dearborn, Michigan, United States (USA)",AmbitionBox
Ecom Express,Logistics,Private,"Gurgaon,Haryana, India",AmbitionBox
JBM Group,Auto Components,Public,"Gurgaon/Gurugram, Haryana, India",AmbitionBox
Equitas Small Finance Bank,Banking,Private,"Chennai, Tamil Nadu, India",AmbitionBox
State Bank of India,Banking,,"Mumbai, Maharashtra, India",AmbitionBox
Dell,Consumer Electronics & Appliances,Private,"Round Rock,Texas, United States",AmbitionBox
ICICI Lombard General Insurance Company,Insurance,Public,"Mumbai, Maharashtra, India",AmbitionBox
Whitehat jr,EdTech,Private,"Mumbai,Maharashtra, India",AmbitionBox
Nagarjuna Construction Company,Engineering & Construction,Public,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
UnitedHealth,Healthcare,Private,"Minnetonka, Minnesota, United States (USA)",AmbitionBox
Bajaj Auto,Automobile,Public,"Pune, Maharashtra, India",AmbitionBox
Muthoot Finance,NBFC,Public,"Kochi/Cochin, Kerala, India",AmbitionBox
Tata Communications,Telecom,Public,"Mumbai, Maharashtra, India",AmbitionBox
Muthoot Fincorp,NBFC,Private,"Trivandrum/Thiruvananthapuram, Kerala, India",AmbitionBox
John Deere,IT Services & Consulting,Private,"Moline, Illinois, United States (USA)",AmbitionBox
GlobalLogic,IT Services & Consulting,Private,"San Jose, California, United States (USA)",AmbitionBox
Dominos Pizza,Hospitality,Public,"Ypsilanti, Michigan, United States (USA)",AmbitionBox
Cholamandalam Investment & Finance,NBFC,Private,"Chennai, Tamil Nadu, India",AmbitionBox
Wipro Consumer Care & Lighting,FMCG,Private,"Bangalore/Bengaluru, Karnataka, India",AmbitionBox
L&T Financial Services,NBFC,Public,"Mumbai, Maharashtra, India",AmbitionBox
SBI Life Insurance Company,Insurance,Government,"Mumbai, Maharashtra, India",AmbitionBox
Capgemini Technology Services India Limited,,,,AmbitionBox
Virtusa Consulting Services,IT Services & Consulting,Private,"Southborough, Massachusetts, United States (USA)",AmbitionBox
Axis Direct,Financial Services,Private,"San Mateo,California, United States",AmbitionBox
KEC International,Real Estate,Public,"Mumbai, Maharashtra, India",AmbitionBox
Hetero Drugs,Pharma,Private,"Hyderabad/Secunderabad, Telangana, India",AmbitionBox
LG Electronics,Consumer Electronics & Appliances,Public,"Seoul, Seoul, South Korea",AmbitionBox
Wipro Infotech,IT Services & Consulting,Private,"Bangalore, India",AmbitionBox
Motherson Sumi Systems,Auto Components,Public,"Noida, Uttar Pradesh, India",AmbitionBox
Sodexo,Facility Management Services,Private,"Issy les Moulineaux, France",AmbitionBox
Swiggy,Internet,Private,"Bangalore,Karnataka, India",AmbitionBox
Thermax,Industrial Machinery,Public,"Pune, Maharashtra, India",AmbitionBox
Optum,Healthcare,Private,"Minnesota, United States (USA)",AmbitionBox
Abbott Healthcare,Pharma,Public,"Illinois City, Illinois, United States (USA)",AmbitionBox
Intas Pharmaceuticals,Pharma,Private,"Ahmedabad, Gujrat, India",AmbitionBox
