company_name,company_industry,company_status,file_name
Telenet,Telecommunications,Mechelen,MalPatSaj_wikipedia
Teleroute,Industrials,Brussels,MalPatSaj_wikipedia
Thermote & Vanhalst,Industrials,Waregem,MalPatSaj_wikipedia
Thomas Cook Airlines Belgium,Consumer services,Zaventem,MalPatSaj_wikipedia
Tibotec,Health care,Mechelen,MalPatSaj_wikipedia
TiGenix,Health care,Leuven,MalPatSaj_wikipedia
Tractebel,Industrials,Brussels,MalPatSaj_wikipedia
Truvo,Industrials,Antwerp,MalPatSaj_wikipedia
TUIfly Belgium,Consumer services,Zaventem,MalPatSaj_wikipedia
UCB,Health care,Brussels,MalPatSaj_wikipedia
UMedia,Consumer services,Brussels,MalPatSaj_wikipedia
Umicore,Basic materials,Brussels,MalPatSaj_wikipedia
Unibind,Industrials,Brussels,MalPatSaj_wikipedia
Union Minière du Haut Katanga,Basic materials,Brussels,MalPatSaj_wikipedia
Van Genechten Packaging,Industrials,Turnhout,MalPatSaj_wikipedia
Van Hool,Industrials,Koningshooikt,MalPatSaj_wikipedia
Vanbreda International,Financials,Antwerp,MalPatSaj_wikipedia
Vanparys,Consumer goods,Brussels,MalPatSaj_wikipedia
Velleman,Industrials,Gavere,MalPatSaj_wikipedia
Vinçotte,Industrials,Brussels,MalPatSaj_wikipedia
VLM Airlines,Consumer services,Antwerp,MalPatSaj_wikipedia
Volvo Car Gent,Consumer goods,Ghent,MalPatSaj_wikipedia
Walloon SME finance and guarantee company,Financials,Liège,MalPatSaj_wikipedia
Zetes,Technology,Brussels,MalPatSaj_wikipedia
Air VIA,Consumer services,Sofia,MalPatSaj_wikipedia
Ariana Brewery,Consumer goods,Sofia,MalPatSaj_wikipedia
Armimex,Industrials,Sofia,MalPatSaj_wikipedia
Arsenal AD,Industrials,Kazanlak,MalPatSaj_wikipedia
Asarel Medet,Basic materials,Panagyurishte,MalPatSaj_wikipedia
Astika Brewery,Consumer goods,Pazardzhik,MalPatSaj_wikipedia
Aukro.bg,Consumer services,Sofia,MalPatSaj_wikipedia
Balkanstroy,Industrials,Sofia,MalPatSaj_wikipedia
Balkantourist,Consumer services,Sofia,MalPatSaj_wikipedia
Balkanton,Consumer services,Sofia,MalPatSaj_wikipedia
BH Air,Consumer services,Sofia,MalPatSaj_wikipedia
Black Sea Studios,Technology,Sofia,MalPatSaj_wikipedia
Blizoo,Telecommunications,Sofia,MalPatSaj_wikipedia
Bulgaria Air,Consumer services,Sofia,MalPatSaj_wikipedia
Bulgarian Agricultural and Commercial Bank,Financials,Sofia,MalPatSaj_wikipedia
Bulgarian Air Charter,Consumer services,Sofia,MalPatSaj_wikipedia
Bulgarian Development Bank,Financials,Sofia,MalPatSaj_wikipedia
Bulgarian Energy Holding,Oil & gas,Sofia,MalPatSaj_wikipedia
Bulgarian National Bank,Financials,Sofia,MalPatSaj_wikipedia
Bulgarian Postbank,Financials,Sofia,MalPatSaj_wikipedia
Bulgarian Posts,Industrials,Sofia,MalPatSaj_wikipedia
Bulgarian State Railways,Industrials,Sofia,MalPatSaj_wikipedia
Bulgartabac,Consumer goods,Sofia,MalPatSaj_wikipedia
Cargoair,Industrials,Sofia,MalPatSaj_wikipedia
Central Cooperative Bank,Financials,Sofia,MalPatSaj_wikipedia
Chimimport,Conglomerates,Sofia,MalPatSaj_wikipedia
Corecom,Consumer services,Sofia,MalPatSaj_wikipedia
Cumerio Med,Basic materials,Pirdop,MalPatSaj_wikipedia
Diema,Consumer services,Sofia,MalPatSaj_wikipedia
DSK Bank,Financials,Sofia,MalPatSaj_wikipedia
DZI,Financials,Sofia,MalPatSaj_wikipedia
Economedia,Consumer services,Sofia[1],MalPatSaj_wikipedia
Egmont Bulgaria,Consumer services,Sofia,MalPatSaj_wikipedia
Era,Consumer services,Sofia,MalPatSaj_wikipedia
Eurofootball,Consumer services,Sofia,MalPatSaj_wikipedia
Fantastico,Consumer services,Sofia,MalPatSaj_wikipedia
