company_name,company_market_cap,company_employees,file_name
Mobile Service Provider,Japan,"['198', '250']",campaignindia
Full-service Airlines,Regional,"['199', '210']",campaignindia
Instant Noodles,"China, Korea","['200', '236']",campaignindia
Menâs Fashion Retailer/Fragrance,Regional,"['201', '177']",campaignindia
Bank,Thailand,"['202', '230']",campaignindia
Full-service Airlines,Korea,"['203', '197']",campaignindia
Supermarket,"China, Hong Kong","['204', '231']",campaignindia
Milk,Korea,"['205', '179']",campaignindia
Menâs and Womenâs Fashion Retailer,"China, Southeast Asia","['206', '208']",campaignindia
Mobile Service Provider,Korea,"['207', '225']",campaignindia
Cigarette,Regional,"['208', '139']",campaignindia
Computer Software,Regional,"['209', '269']",campaignindia
Bank,Korea,"['210', '242']",campaignindia
Fast-Food,Korea,"['211', '275']",campaignindia
Courier Company,Japan,"['212', '251']",campaignindia
Bank,Singapore,"['213', '271']",campaignindia
Consumer Electronics,Regional,"['214', '162']",campaignindia
Bank,India,"['215', '182']",campaignindia
Bank,India,"['216', '226']",campaignindia
Mobile Service Provider,Australia,"['217', '345']",campaignindia
Watch,Regional,"['218', '223']",campaignindia
Milk Powder,"China, India, Southeast Asia","['219', '180']",campaignindia
Cosmetics,Regional,"['220', '119']",campaignindia
Mobile Service Provider,India,"['221', '301']",campaignindia
Petrol/Gas Station,"China, Hong Kong","['222', '214']",campaignindia
Beer,Regional,"['223', '375']",campaignindia
Petrol/Gas Station,Thailand,"['224', '261']",campaignindia
Coffee Shop,"Australia, Southeast Asia","['225', '217']",campaignindia
Fast-Food,"Japan, Hong Kong, Singapore","['226', '300']",campaignindia
Full-service Airlines,Regional,"['227', '175']",campaignindia
Computer,Regional,"['228', '263']",campaignindia
Fruit Juice,Regional,"['229', '316']",campaignindia
Mobile Service Provider,Korea,"['230', '294']",campaignindia
Full-service Airlines,Japan,"['231', '196']",campaignindia
Bank,Taiwan,"['232', '427']",campaignindia
Supermarket,Australia,"['233', '235']",campaignindia
Carbonated Soft Drink,Regional,"['234', '283']",campaignindia
Hotel,Regional,"['235', '202']",campaignindia
Milk,"China, Hong Kong","['236', '216']",campaignindia
White Goods,Regional,"['237', '367']",campaignindia
Carbonated Soft Drink,"Malaysia, Singapore","['238', '246']",campaignindia
Mobile Service Provider,Taiwan,"['239', '172']",campaignindia
Bank,China,"['240', '332']",campaignindia
Watch,Regional,"['241', '321']",campaignindia
Credit Card/Bank,China,"['242', '351']",campaignindia
Shower Gel/Soap,"China, Southeast Asia","['243', '241']",campaignindia
Supermarket,"India, Malaysia, Singapore","['244', '276']",campaignindia
Coffee Shop,Malaysia,"['245', '233']",campaignindia
Tyre,Korea,"['246', 'New entry']",campaignindia
Beer,Taiwan,"['247', '270']",campaignindia
Fragrance/Jewellery,Regional,"['248', '218']",campaignindia
Car/Automobile,Regional,"['249', '370']",campaignindia
Menâs Shoes,Korea,"['250', '255']",campaignindia
Full-service Airlines,Regional,"['251', '479']",campaignindia
Insurance,India,"['252', '290']",campaignindia
Bank,Thailand,"['253', '299']",campaignindia
White Goods,Singapore,"['254', '359']",campaignindia
Toothpaste,Regional,"['255', '287']",campaignindia
Tyre,Regional,"['256', '224']",campaignindia
Printer,Regional,"['257', '344']",campaignindia
Petrol/Gas Station,"Australia, Southeast Asia","['258', '320']",campaignindia
Hotel,Regional,"['259', '262']",campaignindia
Sports Drink,Taiwan,"['260', '258']",campaignindia
Petrol/Gas Station,China,"['261', '295']",campaignindia
Coffee,"Australia, Singapore","['262', '465']",campaignindia
Sports Drink,"Australia, Hong Kong, Japan","['263', '281']",campaignindia
Coffee,India,"['264', '396']",campaignindia
Mobile Service Provider,Thailand,"['265', '337']",campaignindia
Social Networking site,Regional,"['266', '99']",campaignindia
Detergent,"Australia, China","['267', '395']",campaignindia
Beer,"Hong Kong, Thailand","['268', '324']",campaignindia
Fast-Food,"Australia, China, Southeast Asia","['269', '472']",campaignindia
Watch,India,"['270', '292']",campaignindia
Jewellery,"China, Hong Kong","['271', '323']",campaignindia
Convenience Store,"China, Japan","['272', '331']",campaignindia
Petrol/Gas Station,"Korea, Singapore","['273', '260']",campaignindia
Mobile Service Provider,Thailand,"['274', '315']",campaignindia
Savoury Snack Food,Hong Kong,"['275', 'New entry']",campaignindia
Chocolate,Regional,"['276', '380']",campaignindia
Coffee Shop,Hong Kong,"['277', '322']",campaignindia
Car/Automobile,Regional,"['278', '394']",campaignindia
Toothpaste,Regional,"['279', '191']",campaignindia
Fast-Food,Hong Kong,"['280', '335']",campaignindia
Detergent,"Australia, India","['281', '399']",campaignindia
Convenience Store,Korea,"['282', '713']",campaignindia
Cigarette,Regional,"['283', '229']",campaignindia
Mobile Service Provider,Malaysia,"['284', '277']",campaignindia
Motorcycle,Regional,"['285', '390']",campaignindia
Coffee,"India, Malaysia, Singapore","['286', '306']",campaignindia
Detergent,"Hong Kong, Southeast Asia","['287', '309']",campaignindia
Cosmetics,India,"['288', '289']",campaignindia
Mobile Service Provider,Australia,"['289', '305']",campaignindia
Bank,India,"['290', '341']",campaignindia
