company_name,company_industry,company_market_cap,company_employees,country,file_name
China Construction Bank,Banks|Financial services,$153.33 B|$0.78|-0.55%|-14.29%,71,China,companiesMarketCap_dataset
Amgen,Pharmaceuticals|Dow jones|Biotech,$152.34 B|$285.51|-0.15%|41.92%,72,USA,companiesMarketCap_dataset
Tata Consultancy Services,IT services|Professional services,$154.57 B|$42.24|-1.05%|-13.01%,69,India,companiesMarketCap_dataset
Charles Schwab,Financial services|Banks,$153.93 B|$82.46|0.89%|2.92%,70,USA,companiesMarketCap_dataset
Adobe,Software|Tech,$158.77 B|$341.53|-0.75%|-49.17%,66,USA,companiesMarketCap_dataset
Comcast,Telecommunication|Media/Press|Entertainment,$155.03 B|$35.86|-1.16%|-30.37%,68,USA,companiesMarketCap_dataset
Morgan Stanley,Banks|Financial services|Investment,$155.65 B|$92.10|-0.97%|-6.84%,67,USA,companiesMarketCap_dataset
Bhp Group,Mining,$160.50 B|$63.43|0.65%|10.01%,64,Australia,companiesMarketCap_dataset
Verizon,Telecommunication|Dow jones,$160.34 B|$38.18|-0.39%|-24.74%,65,USA,companiesMarketCap_dataset
Texas Instruments,Semiconductors|Tech|Tech Hardware,$161.23 B|$177.66|0.09%|-8.22%,63,USA,companiesMarketCap_dataset
Philip Morris,Tobacco,$161.68 B|$104.30|1.80%|18.74%,62,USA,companiesMarketCap_dataset
Linde,DAX|Chemicals,$166.77 B|$337.35|0.03%|4.12%,60,UK,companiesMarketCap_dataset
United Parcel Service,Courier|Transportation,$163.80 B|$189.39|-0.42%|-5.26%,61,USA,companiesMarketCap_dataset
Hermès,Luxury goods|CAC 40,$167.38 B|$1.601|-0.78%|-12.52%,59,France,companiesMarketCap_dataset
Nextera Energy,Energy|Electricity|Utility companies|Renewable energy,$169.30 B|$85.20|0.44%|-3.86%,58,USA,companiesMarketCap_dataset
Volkswagen,Automakers|DAX|Manufacturing,$87.16 B|$146.40|-0.26%|-22.35%,153,Germany,companiesMarketCap_dataset
Cm Bank,Banks|Financial services,$123.17 B|$4.94|-1.41%|-39.24%,101,China,companiesMarketCap_dataset
Glencore,Mining|Coal Mining|Energy,$88.10 B|$6.84|0.37%|45.53%,151,Switzerland,companiesMarketCap_dataset
Canadian National Railway,Railways|Transportation,$87.19 B|$127.83|-0.49%|-0.90%,152,Canada,companiesMarketCap_dataset
Wuliangye Yibin,Beverages|Alcoholic beverages,$90.17 B|$23.23|-0.93%|-33.59%,150,China,companiesMarketCap_dataset
Chubb,Insurance,$90.96 B|$219.16|0.38%|20.18%,149,Switzerland,companiesMarketCap_dataset
Applied Materials,Semiconductors|Tech|Tech Hardware,$91.80 B|$106.71|-0.28%|-27.16%,147,USA,companiesMarketCap_dataset
Citigroup,Banks|Financial services,$91.49 B|$47.24|-1.13%|-25.97%,148,USA,companiesMarketCap_dataset
Stryker Corporation,Medical devices,$92.00 B|$243.11|0.97%|-1.73%,146,USA,companiesMarketCap_dataset
Mondelez,Food,$93.28 B|$68.31|0.32%|14.88%,143,USA,companiesMarketCap_dataset
Tjx Companies,Retail|Clothing,$93.10 B|$80.19|0.56%|14.15%,144,USA,companiesMarketCap_dataset
Airbus,Aircraft manufacturers|Aerospace|CAC 40|Manufacturing|DAX,$92.04 B|$116.87|0.76%|2.12%,145,Netherlands,companiesMarketCap_dataset
General Electric,Conglomerate,$94.93 B|$86.88|1.90%|-8.77%,141,USA,companiesMarketCap_dataset
Ntt (nippon Telegraph & Telephone),Telecommunication,$94.57 B|$27.25|-2.15%|0.37%,142,Japan,companiesMarketCap_dataset
British American Tobacco,Tobacco,$94.99 B|$42.31|0.98%|24.44%,140,UK,companiesMarketCap_dataset
Byd,Automakers|Manufacturing,$95.45 B|$37.34|-1.72%|-23.01%,139,China,companiesMarketCap_dataset
Csl,Biotech|Pharmaceuticals,$98.93 B|$205.17|1.08%|-4.66%,137,Australia,companiesMarketCap_dataset
Intuitive Surgical,Medical devices,$96.20 B|$272.25|-0.82%|-16.82%,138,USA,companiesMarketCap_dataset
American Tower,Telecommunication|Real estate|REITs|Infrastructure,$102.13 B|$219.37|-0.87%|-17.60%,135,USA,companiesMarketCap_dataset
Cigna,Insurance,$100.03 B|$327.20|1.16%|65.43%,136,USA,companiesMarketCap_dataset
Porsche,Automakers|Manufacturing,$102.65 B|$112.68|-0.60%,134,Germany,companiesMarketCap_dataset
Keyence,Tech Hardware|Tech|Scientific & Technical Instruments,$102.68 B|$423.40|-2.64%|-32.65%,133,Japan,companiesMarketCap_dataset
Sony,Video games|Electronics|Tech|Entertainment|Tech Hardware,$103.02 B|$82.79|-1.37%|-31.10%,131,Japan,companiesMarketCap_dataset
Deutsche Telekom,Telecommunication|DAX,$102.87 B|$20.69|-0.11%|17.29%,132,Germany,companiesMarketCap_dataset
Medtronic,Medical devices,$105.90 B|$79.62|0.47%|-25.78%,128,Ireland,companiesMarketCap_dataset
Lg Energy Solution,Batteries|Electricity|Energy,$105.29 B|$449.97|-0.17%,130,South Korea,companiesMarketCap_dataset
Jingdong Mall,E-Commerce|Internet|Retail|Tech,$105.71 B|$58.64|5.00%|-30.57%,129,China,companiesMarketCap_dataset
Bp,Oil&Gas|Energy,$107.07 B|$35.36|-1.01%|30.67%,127,UK,companiesMarketCap_dataset
Diageo,Alcoholic beverages|Beverages,$108.84 B|$191.39|0.60%|-6.75%,124,UK,companiesMarketCap_dataset
Blackrock,Investment,$107.08 B|$712.98|-1.27%|-22.41%,126,USA,companiesMarketCap_dataset
Prologis,Real estate|Investment|REITs,$107.94 B|$116.94|-0.14%|-24.27%,125,USA,companiesMarketCap_dataset
Boeing,Aircraft manufacturers|Aerospace|Dow jones|Manufacturing,$108.98 B|$182.87|4.03%|-9.64%,123,USA,companiesMarketCap_dataset
Pinduoduo,E-Commerce|Internet|Tech,$109.16 B|$86.34|3.10%|45.65%,122,China,companiesMarketCap_dataset
Gilead Sciences,Pharmaceuticals|Biotech,$111.66 B|$89.03|1.29%|27.79%,121,USA,companiesMarketCap_dataset
Automatic Data Processing,Software|IT services|Professional services|Tech,$111.96 B|$269.90|0.73%|16.12%,120,USA,companiesMarketCap_dataset
Rio Tinto,Mining,$113.15 B|$69.82|0.93%|8.87%,119,UK,companiesMarketCap_dataset
Siemens,Engineering|DAX,$113.81 B|$141.85|0.78%|-15.21%,118,Germany,companiesMarketCap_dataset
Sanofi,CAC 40|Pharmaceuticals|Biotech,$114.09 B|$45.01|-1.87%|-5.62%,117,France,companiesMarketCap_dataset
Ping An Insurance,Insurance,$115.00 B|$6.36|-0.47%|-17.19%,115,China,companiesMarketCap_dataset
Intuit,Software|Tech,$114.59 B|$407.92|-1.96%|-39.31%,116,USA,companiesMarketCap_dataset
China Life Insurance,Insurance,$115.97 B|$5.03|-0.79%|9.83%,113,China,companiesMarketCap_dataset
Equinor,Energy|Oil&Gas|Electricity,$115.89 B|$36.87|-3.25%|44.82%,114,Norway,companiesMarketCap_dataset
American Express,Dow jones|Financial services,$117.12 B|$156.75|-0.48%|-0.01%,112,USA,companiesMarketCap_dataset
S&p Global,Financial services,$117.22 B|$359.80|-0.77%|-21.95%,111,USA,companiesMarketCap_dataset
Anheuser-busch Inbev,Alcoholic beverages|Beverages,$120.11 B|$60.35|1.04%|7.00%,110,Belgium,companiesMarketCap_dataset
Aia,Insurance,$120.50 B|$10.23|-0.87%|-3.76%,109,Hong Kong,companiesMarketCap_dataset
Starbucks,Beverages,$120.57 B|$105.05|1.63%|-5.72%,108,USA,companiesMarketCap_dataset
Intel,Semiconductors|Tech|Dow jones|Tech Hardware|Manufacturing,$121.37 B|$29.41|-1.41%|-40.59%,106,USA,companiesMarketCap_dataset
Amd,Tech|Semiconductors|Electronics|Tech Hardware,$120.89 B|$74.98|-3.23%|-50.24%,107,USA,companiesMarketCap_dataset
Hsbc,Banks,$122.12 B|$30.58|0.10%|6.70%,105,UK,companiesMarketCap_dataset
Caterpillar,Dow jones|Machinery manufacturing|Manufacturing,$122.88 B|$236.13|0.19%|19.99%,104,USA,companiesMarketCap_dataset
Bank Of China,Banks|Financial services,$123.07 B|$0.44|0.00%|-8.33%,102,China,companiesMarketCap_dataset
Commonwealth Bank,Banks|Financial services,$122.92 B|$72.69|-1.36%|6.41%,103,Australia,companiesMarketCap_dataset
Target,Retail|Supermarket Chains,$75.56 B|$164.16|-0.53%|-33.13%,180,USA,companiesMarketCap_dataset
Duke Energy,Energy|Electricity|Oil&Gas|Utility companies,$76.63 B|$99.52|-0.79%|1.92%,179,USA,companiesMarketCap_dataset
Canadian Pacific Railway,Railways|Transportation|Infrastructure,$77.08 B|$82.35|-0.19%|17.96%,178,Canada,companiesMarketCap_dataset
Progressive,Insurance,$77.51 B|$132.51|0.95%|38.03%,177,USA,companiesMarketCap_dataset
Vale,Mining,$77.98 B|$16.72|0.48%|28.71%,176,Brazil,companiesMarketCap_dataset
Air Liquide,CAC 40|Chemicals,$78.78 B|$147.96|0.70%|-10.41%,175,France,companiesMarketCap_dataset
China Shenhua Energy,Mining|Coal Mining|Energy,$79.02 B|$4.19|-1.57%|28.92%,174,China,companiesMarketCap_dataset
Booking Holdings (booking.com),Internet|Travel|Online Travel|Tech,$80.89 B|$2.085|1.22%|-3.98%,173,USA,companiesMarketCap_dataset
Icici Bank,Banks|Financial services,$80.89 B|$23.20|0.00%|24.13%,172,India,companiesMarketCap_dataset
Merck Kgaa,Pharmaceuticals|Chemicals|DAX,$81.20 B|$186.76|0.45%|-22.36%,171,Germany,companiesMarketCap_dataset
Vertex Pharmaceuticals,Pharmaceuticals|Biotech,$82.49 B|$321.37|0.19%|57.19%,169,USA,companiesMarketCap_dataset
Eog Resources,Energy|Oil&Gas,$81.62 B|$138.97|-1.12%|60.55%,170,USA,companiesMarketCap_dataset
Inditex,Clothing|Retail,$82.91 B|$13.32|0.83%|-17.37%,167,Spain,companiesMarketCap_dataset
Enbridge,Oil&Gas|Energy,$82.78 B|$40.61|-0.85%|8.61%,168,Canada,companiesMarketCap_dataset
Servicenow,Software|Internet|Tech,$83.39 B|$412.87|-2.99%|-33.77%,166,USA,companiesMarketCap_dataset
Regeneron Pharmaceuticals,Biotech|Pharmaceuticals,$83.46 B|$766.39|0.68%|20.88%,165,USA,companiesMarketCap_dataset
Northrop Grumman,Aerospace|Defense contractors,$83.97 B|$545.60|2.89%|54.75%,164,USA,companiesMarketCap_dataset
Schneider Electric,CAC 40|Tech|Professional services|Software,$84.02 B|$147.94|-0.45%|-18.89%,163,France,companiesMarketCap_dataset
Essilorluxottica,CAC 40|Glasses and contact lenses|Luxury goods,$84.69 B|$190.13|1.43%|-5.39%,162,France,companiesMarketCap_dataset
Paypal,Financial services|Tech|Internet|Bitcoin,$85.11 B|$74.66|-4.93%|-60.11%,161,USA,companiesMarketCap_dataset
Al Rajhi Bank,Banks|Financial services,$85.28 B|$21.32|-0.50%|-40.11%,160,Saudi Arabia,companiesMarketCap_dataset
Estee Lauder,Cosmetics and Beauty|Consumer goods,$85.28 B|$239.01|3.04%|-28.58%,159,USA,companiesMarketCap_dataset
Altria Group,Tobacco,$85.36 B|$47.63|1.32%|10.23%,158,USA,companiesMarketCap_dataset
Analog Devices,Semiconductors|Tech|Manufacturing,$85.88 B|$168.63|-1.22%|-6.64%,157,USA,companiesMarketCap_dataset
Infosys,Professional services|IT services,$86.00 B|$20.19|-1.56%|-13.87%,156,India,companiesMarketCap_dataset
Allianz,Insurance|DAX,$86.06 B|$213.41|-0.54%|-4.44%,155,Germany,companiesMarketCap_dataset
Marsh & Mclennan Companies,Insurance|Professional services,$86.26 B|$173.91|0.51%|3.23%,154,USA,companiesMarketCap_dataset
Moderna,Pharmaceuticals|mRNA therapeutics|Biotech,$70.05 B|$182.35|0.48%|-39.52%,200,USA,companiesMarketCap_dataset
Illinois Tool Works,Tool manufacturers|Manufacturing,$70.12 B|$228.29|0.38%|-2.90%,199,USA,companiesMarketCap_dataset
3m,Dow jones|Gloves & PPE,$70.19 B|$126.99|0.79%|-25.41%,198,USA,companiesMarketCap_dataset
General Dynamics,Defense contractors,$70.21 B|$255.74|1.38%|31.50%,197,USA,companiesMarketCap_dataset
Air Products And Chemicals,Chemicals,$70.65 B|$318.44|2.05%|10.79%,196,USA,companiesMarketCap_dataset
Bank Central Asia,Banks|Financial services,$71.13 B|$0.58|-0.73%|11.54%,195,Indonesia,companiesMarketCap_dataset
Brookfield Asset Management,Investment|Financial services,$71.48 B|$45.13|-3.42%|-20.98%,193,Canada,companiesMarketCap_dataset
Zurich Insurance Group,Insurance,$71.25 B|$480.52|-0.82%|15.17%,194,Switzerland,companiesMarketCap_dataset
Becton Dickinson,Medical devices,$71.51 B|$252.38|0.62%|4.32%,192,USA,companiesMarketCap_dataset
Glaxosmithkline,Biotech|Pharmaceuticals,$71.89 B|$35.35|0.91%|-14.76%,191,UK,companiesMarketCap_dataset
Kering,CAC 40|Luxury goods,$72.18 B|$589.41|-1.30%|-24.92%,190,France,companiesMarketCap_dataset
Mercedes-benz,Automakers|Manufacturing|DAX|Autonomous driving,$72.20 B|$67.49|-0.11%|-16.75%,189,Germany,companiesMarketCap_dataset
Sinopec,Oil&Gas|Energy,$73.00 B|$0.64|-0.22%|-3.03%,188,China,companiesMarketCap_dataset
Zoetis,Pharmaceuticals|Biotech,$73.36 B|$157.42|0.50%|-29.47%,185,USA,companiesMarketCap_dataset
Southern Company,Energy|Oil&Gas|Electricity|Utility companies,$73.31 B|$67.34|-0.56%|8.60%,186,USA,companiesMarketCap_dataset
Gazprom,Oil&Gas|Energy,$73.26 B|$3.10|0.04%|-34.32%,187,Russia,companiesMarketCap_dataset
Petrobras,Oil&Gas|Energy,$74.35 B|$11.40|1.06%|8.88%,184,Brazil,companiesMarketCap_dataset
Compagnie Financière Richemont,Luxury goods,$74.37 B|$131.07|-0.20%|-11.28%,183,Switzerland,companiesMarketCap_dataset
Schlumberger,Oil&Gas|Energy,$74.85 B|$52.79|1.99%|80.05%,182,USA,companiesMarketCap_dataset
Hindustan Unilever,Consumer goods|Food,$75.47 B|$32.12|-1.79%|1.10%,181,India,companiesMarketCap_dataset
Iberdrola,Electricity|Energy,$69.84 B|$11.43|-0.60%|4.86%,201,Spain,companiesMarketCap_dataset
Waste Management,Waste & Recycling,$69.70 B|$169.81|1.19%|3.71%,202,USA,companiesMarketCap_dataset
Freeport-mcmoran,Mining,$57.48 B|$40.22|1.64%|8.41%,261,USA,companiesMarketCap_dataset
Uber,Ridesharing|Internet|Tech|Transportation,$57.33 B|$28.75|1.45%|-24.58%,262,USA,companiesMarketCap_dataset
China Tourism Group Duty Free,Retail,$58.31 B|$28.41|-2.25%|-10.38%,260,China,companiesMarketCap_dataset
Investor Ab,Investment|Conglomerate,$58.36 B|$19.15|0.08%|-19.44%,258,Sweden,companiesMarketCap_dataset
Vinci,CAC 40|Construction,$58.33 B|$103.46|-0.01%|5.37%,259,France,companiesMarketCap_dataset
Kkr & Co.,Investment,$58.64 B|$52.25|-0.57%|-30.78%,257,USA,companiesMarketCap_dataset
Ubs,Banks|Financial services,$58.79 B|$18.46|-0.16%|4.12%,256,Switzerland,companiesMarketCap_dataset
London Stock Exchange,Financial services|Stock exchanges|Stock/Crypto exchanges,$59.00 B|$106.36|4.66%|18.64%,254,UK,companiesMarketCap_dataset
Norfolk Southern,Railways|Infrastructure,$58.82 B|$254.07|-0.89%|-8.88%,255,USA,companiesMarketCap_dataset
Bmw,Automakers|DAX|Manufacturing,$59.09 B|$89.79|0.14%|-10.30%,253,Germany,companiesMarketCap_dataset
Activision Blizzard,Video games|Esports|Entertainment|Tech,$59.29 B|$75.76|0.76%|32.24%,252,USA,companiesMarketCap_dataset
Abb,Engineering,$59.69 B|$31.63|0.22%|-10.40%,249,Switzerland,companiesMarketCap_dataset
Housing Development Finance Corporation,Financial services|Banks,$59.64 B|$32.74|-1.32%|-12.53%,250,India,companiesMarketCap_dataset
Micron Technology,Tech|Tech Hardware|Semiconductors,$59.44 B|$54.68|-1.46%|-34.03%,251,USA,companiesMarketCap_dataset
Truist Financial,Banks|Financial services,$59.78 B|$45.06|-2.51%|-25.37%,248,USA,companiesMarketCap_dataset
The Saudi National Bank,Banks|Financial services,$60.01 B|$13.52|-1.17%|-18.94%,247,Saudi Arabia,companiesMarketCap_dataset
Atlas Copco,Manufacturing,$60.53 B|$11.53|0.66%|-11.72%,245,Sweden,companiesMarketCap_dataset
Metlife,Insurance,$60.34 B|$76.91|0.34%|29.63%,246,USA,companiesMarketCap_dataset
Intercontinental Exchange,Stock exchanges|Financial services|Stock/Crypto exchanges,$61.02 B|$109.25|-0.26%|-16.74%,243,USA,companiesMarketCap_dataset
Crown Castle,Real estate|Investment|REITs|Telecommunication|Infrastructure,$60.70 B|$140.17|-1.09%|-24.49%,244,USA,companiesMarketCap_dataset
Charter Communications,Telecommunication,$61.13 B|$392.69|0.91%|-41.42%,242,USA,companiesMarketCap_dataset
Siemens Healthineers,Healthcare|DAX,$61.19 B|$54.32|1.78%|-25.04%,241,Germany,companiesMarketCap_dataset
Blackstone Group,Investment,$61.48 B|$85.16|0.14%|-39.71%,239,USA,companiesMarketCap_dataset
