company_market_cap,company_employees,brand name,category,file_name
Hong Kong,529|457,CSL,Mobile Service Provider,campaignindia
Regional,530|903,IndoMie,Instant Noodles,campaignindia
China,531|629,Safeguard,Shower Gel/Soap,campaignindia
Australia,532|715,Holden,Car/Automobile,campaignindia
China. Hong Kong. India,533|661,Aquafina,Mineral Water,campaignindia
Regional,534|361,Panadol,Over-the-counter Pharmaceuticals,campaignindia
Korea,535|578,Chilsung Cider,Mineral Water,campaignindia
Korea,536|544,Shilla,Hotel,campaignindia
Japan,537|439,Regal,Menâs Shoes,campaignindia
Regional,538|590,Mazda,Car/Automobile,campaignindia
Australia,539|577,Allenâs,Sweets and Candy,campaignindia
Taiwan,540|469,FETnet,Mobile Service Provider,campaignindia
China. Southeast Asia,541|630,S26,Milk Powder,campaignindia
Malaysia. Singapore,542|611,Fruit Tree,Fruit Juice,campaignindia
Taiwan. Thailand,543|595,Paos,Detergent,campaignindia
China. Malaysia,544|709,York,Air Conditioner,campaignindia
China,545|835,China Pacific Insurance,Insurance,campaignindia
Regional,546|433,HermÃ¨s,Luxury Fashion Retailer,campaignindia
China,547|895,Hai Tian,Sauce/Condiment,campaignindia
China. Japan. Korea,548|371,DHC,Female Skincare Product,campaignindia
Hong Kong. Singapore,549|594,Crystal Jade,Restaurant Chain,campaignindia
Regional,550|612,Volkswagen,Car/Automobile,campaignindia
India,551|670,Blue Dart,Courier Company,campaignindia
Taiwan,552|587,Nan Shan,Insurance,campaignindia
India,553|683,Drypers,Diaper,campaignindia
Taiwan,554|343,ASO,Menâs/Womenâs Shoes,campaignindia
Regional,555|559,White Rabbit,Sweets and Candy,campaignindia
Japan,556|New entry,Sumitomo Misui (SMBC),Bank,campaignindia
Regional,557|453,Marriott,Hotel,campaignindia
India. Malaysia,558|507,SpiceJet Airlines,Budget Airlines,campaignindia
Regional,559|863,Pentax,Camera,campaignindia
Regional,560|833,Lexus,Car/Automobile,campaignindia
Taiwan,561|781,Pon Pon,Shower Gel/Soap,campaignindia
Malaysia,562|837,Public Bank,Bank,campaignindia
India,563|New entry,ICICI Prudential,Insurance,campaignindia
Regional,564|500,Yves Saint Laurent (YSL),Fragrance/Luxury Fashion Retailer,campaignindia
Australia,565|847,Masterfood,Sauce/Condiment,campaignindia
Malaysia,566|646,PosLaju,Courier Company,campaignindia
Malaysia,567|513,Habib Jewels,Jewellery,campaignindia
Hong Kong,568|663,PCCW,Mobile Service Provider,campaignindia
Thailand,569|710,Yum Yum,Instant Noodles,campaignindia
Australia. China,570|548,7-Up,Carbonated Soft Drink,campaignindia
India,571|748,Spencer,Convenience Store/Supermarket,campaignindia
China,572|New entry,China-SSS,Budget Airlines,campaignindia
Malaysia,573|536,Poh Kong,Jewellery,campaignindia
Hong Kong. China,574|547,Dragonair,Full-service Airlines,campaignindia
China,575|917,Little Swan,White Goods,campaignindia
Australia,576|540,Dairy Farmers,Milk,campaignindia
China,577|724,Maidong,Sports Drink,campaignindia
Thailand,578|635,Thai Post,Courier Company,campaignindia
Australia. India,579|308,Cerelac,Baby Food (excluding milk powder),campaignindia
Japan. Malaysia. Singapore,580|441,Top,Detergent,campaignindia
Singapore,581|718,H-TWO-O,Sports Drink,campaignindia
Regional,582|New entry,Patek Philippe,Watch,campaignindia
Regional,583|991,Rolls Royce,Car/Automobile,campaignindia
Australia,584|828,NAB,Bank,campaignindia
Thailand,585|New entry,Thai Life Insurance,Insurance,campaignindia
China. India. Southeast Asia,586|831,Clear,Shampoo,campaignindia
Southeast Asia,587|484,Chiclet,Chewing/Bubble Gum,campaignindia
China,588|599,Kaixin001,Social Networking Site,campaignindia
Korea,589|703,Perioe,Toothpaste,campaignindia
Thailand,590|557,Enfa,Milk Powder,campaignindia
Regional,591|505,Alfred Dunhill,Fragrance,campaignindia
Regional,592|915,TGI Fridayâs,Restaurant Chain,campaignindia
China,593|632,Wahaha,Mineral Water,campaignindia
India,594|874,Ceat,Tyre,campaignindia
India,595|700,Tanishq,Jewellery,campaignindia
Regional,596|551,Hennessy,Spirits,campaignindia
Korea,597|793,Homeplus,Supermarket,campaignindia
China,598|407,Bright Dairy,Milk,campaignindia
China,599|843,China Telecom,Mobile Service Provider,campaignindia
Korea,600|New entry,Angelinus,Coffee Shop,campaignindia
Australia. India. Southeast Asia,601|444,Creative,Personal portable music player,campaignindia
Regional,602|592,Holiday Inn,Hotel,campaignindia
Australia,603|695,AAMI,Insurance,campaignindia
Regional,604|657,Post,Cereal,campaignindia
Taiwan,605|428,La New,Menâs Shoes,campaignindia
Southeast Asia,606|753,Lifebuoy,Shower Gel/Soap,campaignindia
Malaysia. Singapore,607|491,Yeo Hiap Seng (YEO),Tea,campaignindia
Thailand,608|876,Bangchak,Petrol/Gas Station,campaignindia
Korea,609|542,Esquire,Menâs/Womenâs Shoes,campaignindia
China. Hong Kong,610|662,Moutai,Spirits,campaignindia
Hong Kong. India. Korea,611|797,IndiGo,Budget Airlines,campaignindia
Thailand,612|New entry,Bank of Ayudhya,Bank,campaignindia
Regional,613|962,Volvo,Automobile/Car,campaignindia
Regional,614|579,Kit Kat,Chocolate,campaignindia
Taiwan,615|637,Bank of Taiwan,Bank,campaignindia
Korea,616|696,S-oil,Petrol/Gas Station,campaignindia
India,617|704,BPCL,Petrol/Gas Station,campaignindia
Malaysia,618|702,Cintan,Instant Noodles,campaignindia
Australia,619|812,Streets,Ice-cream,campaignindia
Thailand,620|562,Aura,Mineral Water,campaignindia
Japan,621|New entry,Ito-en,Ready-to-drink Tea,campaignindia
Hong Kong,622|746,Blue Girl,Beer,campaignindia
Japan. Southeast Asia,623|565,Kose,Cosmetics,campaignindia
Taiwan,624|524,Y.E.S Mineral Water,Mineral Water,campaignindia
Hong Kong. Singapore. China,625|638,Ritz-Carlton,Hotel,campaignindia
India,626|722,Haldiram,Savoury Snack Food,campaignindia
Regional,627|499,Milo,Sports Drink,campaignindia
Regional,628|731,General Electric (GE),White Goods,campaignindia
Regional,629|New entry,Beat,Detergent,campaignindia
Thailand,630|651,Tops,Supermarket,campaignindia
Korea,631|604,Woori Bank,Bank,campaignindia
India. Southeast Asia,632|795,Big Babool,Chewing/Bubble Gum,campaignindia
Regional,633|769,Timberland,Menâs Shoes,campaignindia
China. Southeast Asia,634|653,Nespray,Milk Powder,campaignindia
