company_name,company_industry,company_country,company_employees,company_nace_code,link,file_name
Sapiegos Klinika,Health,Lithuania,24,1.578.677,https://www.sapiegosklinika.lt/,ft
Soles Tech.,Construction,Italy,29,7.033.252,http://www.solestech.it,ft
Reunion Portage,Support Services,France,12,1.6,https://www.reunionportage.com,ft
INST formation à la Sophrologie,Interiors,Italy,70,9.1,https://www.interiorsidea.it,ft
Rivers Finance Group,Financial Services,United Kingdom,13,4.40,https://www.riversleasing.com/,ft
Brightblue Consulting,Technology,United Kingdom,26,3.41,https://brightblueconsulting.co.uk/,ft
OpenCorporates,Technology,UK,25,2.730.677,https://opencorporates.com/,ft
BE CLOUD,Support Services,France,49,10.371.094,https://be-cloud.fr/,ft
Frigoclim Kälte-Klima,Construction,Germany,21,3.200.000,https://www.frigoclim.de,ft
Acondistec,Retail,Germany,13,17.5,https://acondistec.digital,ft
Verksýn,Construction,Iceland,15,1.65,http://www.verksyn.is/,ft
Drukarnia piga.pl,Ecommerce,Poland,130,4.064.038,https://piga.pl/,ft
groupe mister menuiserie,Ecommerce,France,227,68.009.314,https://www.groupe-mistermenuiserie.com/,ft
Forsyth Barnes,Support Services,UK,20,6.778.537,https://www.forsythbarnes.com,ft
Non-Stop Dogwear,Retail,Norway,10,3.7,https://www.non-stopdogwear.no,ft
Solaris Yachts,Industrial Goods,Italy,97,33.80,https://www.solarisyachts.com/,ft
Mason Advisory,Management Consulting,United Kingdom,38,12.45,https://www.masonadvisory.com/,ft
Insetto,Retail,Germany,79,6.010.130,https://www.insetto.eu/,ft
Technophage,Pharmaceuticals,Portugal,13,2.237.180,http://technophage.pt/,ft
Nutrileya,Pharmaceuticals,Italy,6,3.062.000,https://nutrileya.it,ft
AG Consultancy & Apps,Technology,UK,21,3.573.700,https://www.agcapps.com,ft
Ecogreenenergy,Waste management & recycling,France,25,9.0,https://www.ecogreenenergy.fr,ft
WebmediaRM,Media,France,30,5.98,https://www.webmediarm.com/,ft
Amido,Technology,United Kingdom,100,18.52,https://amido.com/,ft
skalis portage salarial,Support Services,France,68,6.202.068,https://skalis-portage.com/,ft
peoplegrapher,Advertising,Germany,11,3.561.298,https://www.peoplegrapher.com/,ft
Adservio,Technology,France,142,15.744.330,http://adservio.fr,ft
Detrame,Construction,Spain,39,6.7,https://www.detrame.es,ft
Richmond Group,Financial Services,United Kingdom,492,357.76,https://www.therichmondgroup.co.uk/,ft
Pentland Properties,Property,United Kingdom,5,9.78,https://www.pentlandhomes.co.uk/,ft
Reveg Fruit,Food & Beverage,Italy,4,2.356.570,http://www.revegfruit.it/,ft
Sciant,Technology,Bulgaria,79,3.192.139,https://www.sciant.com/,ft
Union Gas Metano,Energy,Italy,25,55.941.938,https://www.uniongasmetano.it,ft
Eurovanille,Food & Beverage,France,73,54.1,https://www.eurovanille.com,ft
Cosmei,Beauty,Italy,15,6.3,https://www.cosmei.it,ft
AV Progres,Retail,Slovenia,2,3.79,,ft
Boender & Beutel,Industrial Goods,Germany,130,14.550.131,https://www.shirtee.com/,ft
EKINOPS,Telecoms,France,456,92.800.000,https://www.ekinops.com/,ft
Rackforest,Technology,Hungary,20,2.428.552,https://rackforest.com,ft
CLX Communications,Technology,Sweden,350,319.3,https://www.clxcommunications.com,ft
La Parisienne Assurances,Insurance,France,83,311.69,https://www.la-parisienne.fr/,ft
Sano-Técnica,Health,Portugal,13,4.972.658,https://www.sano-tecnica.pt/,ft
möbelando,Retail,Germany,24,16.692.390,https://www.moebelando.de/,ft
A.B. Pharm,Pharmaceuticals,Italy,1,3.085.566,http://www.abpharm.it,ft
Urbania Projekt,Construction,Germany,1,4.8,https://www.urbania-projekte.de,ft
Xceptor,Technology,United Kingdom,108,17.01,https://www.xceptor.com/,ft
Democom,Telecoms,Italy,37,3.347.950,http://www.democom.it/,ft
Erbagil,Pharmaceuticals,Italy,11,4.021.010,https://www.erbagil.com/,ft
Heart Apartments,Travel & Leisure,Italy,12,2.604.838,https://www.heartmilanapartments.com,ft
Alternatyva,Telecoms,Italy,38,5.7,https://www.alternatyva.it,ft
ADNP,Support Services,Germany,35,4.44,https://www.adnp.de/,ft
Axopar Boats,Travel & Leisure,Finland,32,78.765.693,https://www.axopar.fi/,ft
Advanced Composites Solutions,Automobiles,Italy,54,5.393.690,https://www.acs-carbon.com/,ft
Averdung Ingenieure & Berater,Energy,Germany,42,3.531.440,https://www.averdung.de,ft
Conrado y Asociados,Construction,Spain,74,5.9,https://www.conradoyasociados.es,ft
Trapizzino,Restaurants,Italy,88,3.1,https://www.trapizzino.it,ft
GiglioCom,Ecommerce,Italy,35,13.21,https://www.giglio.com/,ft
ALG,Technology,France,64,5.54,https://www2.attestationlegale.fr/,ft
Spartivento Yachts & Charter,Travel & Leisure,Italy,34,5.194.630,https://www.spartivento.it/,ft
Seargin,Technology,Poland,64,18.624.755,https://seargin.com/,ft
Le Slip Français,Retail,France,140,24.336.753,https://www.leslipfrancais.fr,ft
SICA,Industrial Goods,France,3,28.063.191,https://www.sicastpol.fr,ft
Godel Technologies Europe,Technology,United Kingdom,529,16.3,https://www.godeltech.com,ft
Mashfrog Group,Technology,Italy,302,19.65,https://www.mashfrog.com/,ft
Hydroflex Group,Support Services,Germany,22,6.97,https://www.hydroflex-group.com/,ft
TTP HOLDING,Support Services,Germany,32,37.607.000,https://www.ttpeurope.com/,ft
Sweef furniture,Retail,Sweden,14,9.506.903,https://sweef.se/,ft
Quence,Technology,Italy,28,2.490.745,https://www.quence.it,ft
Global Marketing,Industrial Goods,Italy,4,1.6,https://www.globalmarketingsrl.com,ft
heyconnect,Ecommerce,Germany,50,7.60,https://www.heyconnect.de/,ft
SONIC Tanácsadó és Szolgáltató Kft,Technology,Hungary,10,4.646.080,http://www.mikrosonic.hu/,ft
Next04,Technology,Italy,15,3.068.850,https://www.next04.it,ft
Innovasoft,Technology,Italy,28,2.5,https://www.innovasoftspa.it,ft
Ecoslops,Energy,France,50,7.54,https://www.ecoslops.com/,ft
spotit,Cyber Security,Belgium,71,20.387.729,https://www.spotit.be/,ft
LABEL EXPERIENCE,Financial Services,France,27,1.756.470,https://labelexperience.com/,ft
NEBOLEX Umwelttechnik,Industrial Goods,Germany,18,2.775.000,http://www.nebolex.de,ft
Keyquant,Financial Services,France,15,9.330.563,https://www.keyquant.com,ft
akko,Support Services,Germany,350,10.9,https://www.akko-personal.de,ft
Inrete,Management Consulting,Italy,14,4.55,https://www.in-rete.net/,ft
Ve. Ma. Soc. Coop. Di Servizi,Advertising,Italy,80,2.73,,ft
LMM Logistics,Transport,Italy,724,14.113.040,https://lmmlogistics.com/,ft
Medicalfit,Health,Spain,35,2.378.517,https://www.medicalfit.es/,ft
WebmediaRM,Media,France,30,8.333.500,https://webmediarm.com,ft
We Are Pentagon Group,Ecommerce,UK,141,14.812.973,https://wearepentagon.com,ft
Staff,Support Services,Italy,76,101.6,https://www.staff.it,ft
ARCADIA Investment,Property,Germany,30,3.78,https://www.arcadia-invest.de/,ft
Garaude,Retail,France,4,8.70,https://www.garaude.com/,ft
Nuova MG,Industrial Goods,Italy,26,2.126.840,http://www.nuovamgsrl.it/,ft
innov and co handicap,Technology,France,30,1.879.824,http://www.innovandco.net/,ft
Firalis,Health,France,25,3.074.621,https://www.firalis.com,ft
Amido,Technology,United Kingdom,109,13.9,https://www.amido.com,ft
DMR Group,Chemicals,Poland,8,2.34,http://www.dmrgroupltd.com/,ft
Alma Entreprise,Construction,France,31,13.438.347,http://www.almaentreprise.fr/,ft
Formind Consulting,Management Consulting,France,129,13.625.000,https://www.formind.fr,ft
Digitalmind,Advertising,Italy,40,5.529.578,https://www.digital-mind.it,ft
Amiltone,Technology,France,170,9.5,https://www.amiltone.com,ft
DTS Maschinenbau,Industrial Goods,Germany,62,6.40,https://www.dts-maschinenbau.de/,ft
EyeSpec,Technology,Germany,18,2.00,https://www.eyespec.de/,ft
Radit,Support Services,Italy,15,1.879.520,https://www.radit.it/,ft
Adquality,Advertising,France,35,3.200.000,https://www.adquality.fr,ft
Tenso Floor,Construction,Italy,11,2.7,https://www.teknachemgroup.com,ft
SMS Maintenance Industrielle,Industrial Goods,France,13,2.05,https://www.sms-metal.fr/,ft
Nord Est Elevatori,Industrial Goods,Italy,10,2.36,https://www.nordestelevatori.com/,ft
REGIONAL EXPRESS,Transport,France,220,22.841.800,https://www.regional-express.fr/,ft
Aravati,Support Services,France,59,6.671.500,https://aravati.fr/,ft
FiloBlu,Management Consulting,Italy,160,39.506.000,https://www.filoblu.com,ft
Déco,Interiors,Italy,7,4.6,https://www.decodecking.it,ft
Netguru,Technology,Poland,276,8.9,https://www.netguru.co,ft
Time Square,Fashion,Italy,8,1.51,https://www.timesquarestore.com/,ft
Pöhner Hamburg,Retail,Germany,7,15.603.000,https://poehner-hamburg.com/,ft
Schreinerei Huber,Construction,Germany,21,2.629.044,https://www.die-schreinerei-huber.de/,ft
DONE Deliveries,Transport,Poland,138,23.040.066,https://www.donedeliveries.com,ft
Nature Dog,Retail,France,10,3.5,https://www.naturedog.fr,ft
Humanas,Health,Germany,219,11.6,https://humanas.de,ft
Siteimprove,Technology,Denmark,520,32.09,https://siteimprove.com/,ft
ISR,Technology,France,12,4.637.943,https://www.isr.fr/,ft
Kinga Mathe,Retail,Germany,5,1.800.494,https://www.kinga-mathe.com/,ft
