company_name,industry,sector,headquarters,file_name
Capgemini,Industrials,Business support services,Paris,MalPatSaj_wikipedia
Carrefour,Consumer services,Food retailers & wholesalers,Boulogne-Billancourt,MalPatSaj_wikipedia
Cartier,Consumer goods,Clothing & accessories,Saint-Ouen,MalPatSaj_wikipedia
Celio,Consumer services,Apparel retailers,Paris,MalPatSaj_wikipedia
Chanel,Consumer goods,Clothing & accessories,Neuilly-sur-Seine,MalPatSaj_wikipedia
Chantelle,Consumer goods,Clothing & accessories,Cachan,MalPatSaj_wikipedia
Christian Dior SE,Consumer goods,Clothing & accessories,Paris,MalPatSaj_wikipedia
Citroën,Consumer goods,Automobiles,Rueil-Malmaison,MalPatSaj_wikipedia
CMA CGM,Industrials,Delivery services,Marseille,MalPatSaj_wikipedia
Com One group,Technology,Telecommunications equipment,Cestas,MalPatSaj_wikipedia
Crédit Agricole,Financials,Banks,Montrouge,MalPatSaj_wikipedia
Crédit Commercial de France,Financials,Banks,Paris,MalPatSaj_wikipedia
Crédit Mutuel,Financials,Banks,Paris,MalPatSaj_wikipedia
Conforama,Consumer services,Retail,Saint-Priest,MalPatSaj_wikipedia
Crédit Foncier de France,Financials,Banks,Charenton-le-Pont,MalPatSaj_wikipedia
Crédit Lyonnais,Financials,Banks,Paris,MalPatSaj_wikipedia
Criteo,Technology,Internet,Paris,MalPatSaj_wikipedia
Danone,Consumer goods,Food products,Paris,MalPatSaj_wikipedia
Dassault Aviation,Industrials,Defense,Paris,MalPatSaj_wikipedia
Dassault Systèmes,Technology,Software,Vélizy-Villacoublay,MalPatSaj_wikipedia
Debacq & Cie,Consumer goods,Clothing & accessories,Paris,MalPatSaj_wikipedia
Decathlon,Consumer goods,Clothing & accessories,Villeneuve-d'Ascq,MalPatSaj_wikipedia
Dexia,Financials,Banks,Paris,MalPatSaj_wikipedia
Diptyque,Consumer goods,Personal products,Paris,MalPatSaj_wikipedia
Edenred,Industrials,Specialized consumer services,Paris,MalPatSaj_wikipedia
Éditions Philippe Amaury,Consumer services,Publishing,Boulogne-Billancourt,MalPatSaj_wikipedia
Eisenberg Paris,Consumer goods,Personal products,Paris,MalPatSaj_wikipedia
Électricité de France (EDF),Utilities,Conventional electricity,Paris,MalPatSaj_wikipedia
Elf Aquitaine,Oil & gas,Exploration & production,Courbevoie[9],MalPatSaj_wikipedia
Engie,Utilities,Electricity generation,La Défense,MalPatSaj_wikipedia
EssilorLuxottica,Health care,Health care equipment,Charenton-le-Pont,MalPatSaj_wikipedia
Eutelsat,Telecommunications,Mobile telecommunications,Paris,MalPatSaj_wikipedia
Fnac,Consumer services,Specialty retailers,Ivry-sur-Seine,MalPatSaj_wikipedia
Framatome,Nuclear industries,Nuclear engineering,Courbevoie,MalPatSaj_wikipedia
Free,Telecommunications,Fixed line telecommunications,Paris,MalPatSaj_wikipedia
Galeries Lafayette,Consumer services,Broadline retailers,Paris,MalPatSaj_wikipedia
Gameloft,Technology,Software,Paris,MalPatSaj_wikipedia
Gandi,Technology,Internet,Paris,MalPatSaj_wikipedia
Gaumont,Consumer services,Broadcasting & entertainment,Neuilly-sur-Seine,MalPatSaj_wikipedia
Genset,Health care,Biotechnology,Paris,MalPatSaj_wikipedia
Getlink,Industrials,Transportation services,Paris,MalPatSaj_wikipedia
Groupe BPCE,Financials,Banks,Paris,MalPatSaj_wikipedia
Groupe Bull,Technology,Computer hardware,Les Clayes-sous-Bois,MalPatSaj_wikipedia
Groupe Casino,Consumer services,Broadline retailer,Saint-Étienne,MalPatSaj_wikipedia
Hachette,Consumer services,Publishing,Paris,MalPatSaj_wikipedia
Hachette Filipacchi Médias,Consumer services,Publishing,Paris,MalPatSaj_wikipedia
Havas,Consumer services,Media agencies,Paris,MalPatSaj_wikipedia
Hermès,Consumer goods,Clothing & accessories,Paris,MalPatSaj_wikipedia
Hutchinson SA,Industrials,Diversified industrials,Paris,MalPatSaj_wikipedia
Iliad SA,Telecommunications,Fixed line telecommunications,Paris,MalPatSaj_wikipedia
JCDecaux,Industrials,Electronic equipment,Neuilly-sur-Seine,MalPatSaj_wikipedia
Keolis,Consumer services,Travel & tourism,Paris,MalPatSaj_wikipedia
Kering,Consumer goods,Clothing & accessories,Paris,MalPatSaj_wikipedia
La Poste,Industrials,Delivery services,Paris,MalPatSaj_wikipedia
Laboratoires Pierre Fabre,Health care,Pharmaceuticals,Paris,MalPatSaj_wikipedia
Lacoste,Consumer goods,Clothing & accessories,Troyes,MalPatSaj_wikipedia
Lactalis,Consumer goods,Food products,Laval,MalPatSaj_wikipedia
Lafarge,Industrials,Building materials & fixtures,Paris,MalPatSaj_wikipedia
Lafuma,Consumer goods,Recreational products,Paris,MalPatSaj_wikipedia
Lagardère Group,Consumer services,Broadcasting & entertainment,Paris,MalPatSaj_wikipedia
Lancôme,Consumer goods,Personal products,Paris,MalPatSaj_wikipedia
Le Coq Sportif,Consumer goods,Clothing & accessories,Entzheim,MalPatSaj_wikipedia
Le Zèbre,Consumer goods,Automobiles,Suresnes,MalPatSaj_wikipedia
L'Oréal,Consumer goods,Personal products,Clichy,MalPatSaj_wikipedia
Louis Vuitton,Consumer goods,Clothing & accessories,Paris,MalPatSaj_wikipedia
LVMH,Consumer goods,Clothing & accessories,Paris,MalPatSaj_wikipedia
Mandriva,Technology,Software,Paris,MalPatSaj_wikipedia
Manuloc,Industrials,Logistics,Metz,MalPatSaj_wikipedia
Maritima Ferries,Industrials,Marine transportation,Marseille,MalPatSaj_wikipedia
Matra Marconi Space,Industrials,Aerospace,Toulouse,MalPatSaj_wikipedia
Matra,Consumer goods,Automobiles,Romorantin-Lanthenay,MalPatSaj_wikipedia
Mavic,Consumer goods,Recreational products,Annecy,MalPatSaj_wikipedia
MC2 France,Technology,Software,Montrouge,MalPatSaj_wikipedia
Michelin,Consumer goods,Tires,Clermont-Ferrand,MalPatSaj_wikipedia
Microïds,Technology,Software,Montreuil,MalPatSaj_wikipedia
Montagut,Consumer goods,Clothing & accessories,Saint-Sauveur-de-Montagut,MalPatSaj_wikipedia
MoonScoop Group,Consumer services,Broadcasting & entertainment,Paris,MalPatSaj_wikipedia
Naval Group,Industrials,Defense,Paris,MalPatSaj_wikipedia
NicOx,Health care,Pharmaceuticals,Valbonne,MalPatSaj_wikipedia
Norauto,Consumer goods,Auto parts,Lesquin,MalPatSaj_wikipedia
Orange S.A.,Telecommunications,Mobile telecommunications,Paris,MalPatSaj_wikipedia
Orano,Nuclear industries,Nuclear cycle,Courbevoie,MalPatSaj_wikipedia
Oxbow,Consumer goods,Recreational products,Mérignac,MalPatSaj_wikipedia
Parrot SA,Industrials,Diversified industrials,Paris,MalPatSaj_wikipedia
Pathé,Consumer services,Broadcasting & entertainment,Paris,MalPatSaj_wikipedia
Pentalog,Industrials,Business support services,Orléans,MalPatSaj_wikipedia
Pernod Ricard,Consumer goods,Distillers & vintners,Paris,MalPatSaj_wikipedia
Peugeot,Consumer goods,Automobiles,Rueil-Malmaison,MalPatSaj_wikipedia
PSA Group,Consumer goods,Automobiles,Rueil-Malmaison,MalPatSaj_wikipedia
Publicis,Industrials,Business support services,Paris,MalPatSaj_wikipedia
Quantic Dream,Technology,Software,Paris,MalPatSaj_wikipedia
RATP Group,Consumer services,Travel & tourism,Paris,MalPatSaj_wikipedia
Renault,Consumer goods,Automobiles,Boulogne-Billancourt,MalPatSaj_wikipedia
Rexel,Industrials,Electrical components & equipment,Paris,MalPatSaj_wikipedia
Rhodia,Basic materials,Specialty chemicals,La Défense,MalPatSaj_wikipedia
Rhône-Poulenc,Basic materials,Specialty chemicals,Paris,MalPatSaj_wikipedia
Safran,Industrials,Aerospace,Paris,MalPatSaj_wikipedia
SAGEM,Technology,Telecommunications equipment,Paris,MalPatSaj_wikipedia
Saint-Gobain,Industrials,Building materials & fixtures,La Défense,MalPatSaj_wikipedia
Salomon Group,Consumer goods,Recreational products,Épagny-Metz-Tessy,MalPatSaj_wikipedia
Sanofi,Health care,Pharmaceuticals,Paris,MalPatSaj_wikipedia
Schneider Electric,Industrials,Electrical components & equipment,Rueil-Malmaison,MalPatSaj_wikipedia
SDV International Logistics,Industrials,Delivery services,Puteaux,MalPatSaj_wikipedia
Sephora,Consumer services,Specialty retailers,Paris,MalPatSaj_wikipedia
Servier,Health care,Pharmaceuticals,Suresnes,MalPatSaj_wikipedia
SFR,Telecommunications,Fixed line telecommunications,Paris,MalPatSaj_wikipedia
Sigfox,Technology,Telecommunications equipment,Labège,MalPatSaj_wikipedia
SNCF,Consumer services,Travel & tourism,Saint-Denis,MalPatSaj_wikipedia
Snecma,Industrials,Aerospace,Courcouronnes,MalPatSaj_wikipedia
Société Bic,Consumer goods,Nondurable household products,Clichy,MalPatSaj_wikipedia
Société Générale,Financials,Banks,La Défense,MalPatSaj_wikipedia
Sodexo,Industrials,Specialized consumer services,Issy-les-Moulineaux,MalPatSaj_wikipedia
Sogeti,Technology,Software,Paris,MalPatSaj_wikipedia
Sopra Steria,Technology,Software,Annecy,MalPatSaj_wikipedia
Suez,Utilities,Multiutilities,Paris,MalPatSaj_wikipedia
Technicolor SA,Consumer services,Broadcasting & entertainment,Issy-les-Moulineaux,MalPatSaj_wikipedia
Technip,Industrials,Business support services,Paris,MalPatSaj_wikipedia
TF1 Group,Consumer services,Broadcasting & entertainment,Boulogne-Billancourt,MalPatSaj_wikipedia
Thales Group,Industrials,Aerospace,La Défense,MalPatSaj_wikipedia
Thomson-CSF,Industrials,Defense,Paris,MalPatSaj_wikipedia
TotalEnergies,Oil & gas,Integrated oil & gas,Courbevoie,MalPatSaj_wikipedia
Ubisoft,Technology,Software,Rennes,MalPatSaj_wikipedia
Veolia,Utilities,Water,Paris,MalPatSaj_wikipedia
Vinci SA,Industrials,Heavy construction,Rueil-Malmaison,MalPatSaj_wikipedia
Vivendi,Consumer services,Broadcasting & entertainment,Paris,MalPatSaj_wikipedia
Waterman,Consumer goods,Nondurable household products,Paris,MalPatSaj_wikipedia
Yoplait,Consumer goods,Food products,Boulogne-Billancourt,MalPatSaj_wikipedia
A. Lange & Söhne,Consumer goods,Clothing & accessories,Glashütte,MalPatSaj_wikipedia
Aareal Bank,Financials,Banks,Wiesbaden,MalPatSaj_wikipedia
Adidas,Consumer goods,Clothing & accessories,Herzogenaurach,MalPatSaj_wikipedia
Aldi,Consumer services,Food retailers & wholesalers,Essen,MalPatSaj_wikipedia
Allianz,Financials,Full line insurance,Munich,MalPatSaj_wikipedia
Alpina,Consumer goods,Automobiles,Buchloe,MalPatSaj_wikipedia
Altana,Basic materials,Speciality chemicals,Wesel,MalPatSaj_wikipedia
Aral AG,Consumer services,Specialty retailers,Bochum,MalPatSaj_wikipedia
ARAG SE,Financials,Full line insurance,Düsseldorf,MalPatSaj_wikipedia
Arburg,Industrials,Industrial machinery,Loßburg,MalPatSaj_wikipedia
Arcandor,Consumer services,Broadline retailers,Essen,MalPatSaj_wikipedia
Arcor,Telecommunications,Fixed line telecommunications,Eschborn,MalPatSaj_wikipedia
Armedangels,Consumer goods,Clothing & accessories,Cologne,MalPatSaj_wikipedia
Audi,Consumer goods,Automobiles,Ingolstadt,MalPatSaj_wikipedia
August Storck,Consumer goods,Food products,Berlin,MalPatSaj_wikipedia
Aurubis,Basic materials,Nonferrous metals,Hamburg,MalPatSaj_wikipedia
Auto Union,Consumer goods,Automobiles,Neckarsulm,MalPatSaj_wikipedia
Axel Springer AG,Consumer services,Publishing,Berlin,MalPatSaj_wikipedia
B. Braun,Health care,Pharmaceuticals,Melsungen,MalPatSaj_wikipedia
Babelsberg Studio,Consumer services,Broadcasting & entertainment,Potsdam,MalPatSaj_wikipedia
Bahlsen,Consumer goods,Food products,Hanover,MalPatSaj_wikipedia
BASF,Basic materials,Speciality chemicals,Ludwigshafen,MalPatSaj_wikipedia
Bavaria Film Studios,Consumer services,Broadcasting & entertainment,Grünwald,MalPatSaj_wikipedia
Bayer,Health care,Pharmaceuticals,Leverkusen,MalPatSaj_wikipedia
BayWa,Consumer goods,Farming & fishing,Munich,MalPatSaj_wikipedia
BBS Kraftfahrzeugtechnik,Consumer goods,Auto parts,Schiltach,MalPatSaj_wikipedia
Bechtle,Technology,Software,Neckarsulm,MalPatSaj_wikipedia
Beck's Brewery,Consumer goods,Brewers,Bremen,MalPatSaj_wikipedia
Behr GmbH & Co. KG,Industrials,Industrial suppliers,Stuttgart,MalPatSaj_wikipedia
Behringer,Consumer goods,Consumer electronics,Willich,MalPatSaj_wikipedia
Beiersdorf,Consumer goods,Personal products,Hamburg,MalPatSaj_wikipedia
Bellevue Investments,Technology,Software,Berlin,MalPatSaj_wikipedia
Benecke-Kaliko,Industrials,Industrial suppliers,Hanover,MalPatSaj_wikipedia
Bertelsmann,Consumer services,Broadcasting & entertainment,Gütersloh,MalPatSaj_wikipedia
Beyerdynamic,Consumer goods,Consumer electronics,Heilbronn,MalPatSaj_wikipedia
Bilfinger,Industrials,Heavy construction,Mannheim,MalPatSaj_wikipedia
Birkenstock,Consumer goods,Clothing & accessories,Neustadt,MalPatSaj_wikipedia
Bitburger Brewery,Consumer goods,Brewers,Bitburg,MalPatSaj_wikipedia
BioNTech,Healthcare,Vaccine,Mainz,MalPatSaj_wikipedia
Blohm+Voss,Industrials,Commercial vehicles & trucks,Hamburg,MalPatSaj_wikipedia
BMG Rights Management,Consumer services,Broadcasting & entertainment,Berlin,MalPatSaj_wikipedia
BMW,Consumer goods,Automobiles,Munich,MalPatSaj_wikipedia
Boehringer Ingelheim,Health care,Pharmaceuticals,Ingelheim am Rhein,MalPatSaj_wikipedia
BOMAG,Industrials,Commercial vehicles & trucks,Boppard,MalPatSaj_wikipedia
Brabus,Consumer services,Specialty retailers,Bottrop,MalPatSaj_wikipedia
Braun,Consumer goods,Personal products,Kronberg,MalPatSaj_wikipedia
Brenntag,Basic materials,Commodity chemicals,Mülheim,MalPatSaj_wikipedia
C. Bechstein,Consumer goods,Recreational products,Berlin,MalPatSaj_wikipedia
C. Illies & Co.,Industrials,Business support services,Hamburg,MalPatSaj_wikipedia
Carl Walther GmbH,Industrials,Defense,Ulm,MalPatSaj_wikipedia
Carl Zeiss AG,Health care,Medical equipment,Oberkochen,MalPatSaj_wikipedia
CureVac,Health care,Vaccine,Tübingen,MalPatSaj_wikipedia
Celesio,Health care,Pharmaceuticals,Stuttgart,MalPatSaj_wikipedia
CineStar,Consumer services,Recreational services,Lübeck,MalPatSaj_wikipedia
Circus Krone,Consumer services,Broadcasting & entertainment,Munich,MalPatSaj_wikipedia
Claas,Industrials,Commercial vehicles & trucks,Harsewinkel,MalPatSaj_wikipedia
Commerzbank,Financials,Banks,Frankfurt,MalPatSaj_wikipedia
Condor Flugdienst,Consumer services,Airlines,Frankfurt,MalPatSaj_wikipedia
Continental AG,Industrials,Industrial suppliers,Hanover,MalPatSaj_wikipedia
Covestro,Basic materials,Speciality chemicals,Leverkusen,MalPatSaj_wikipedia
Daimler AG,Consumer goods,Automobiles,Stuttgart,MalPatSaj_wikipedia
Dba,Consumer services,Airlines,Munich,MalPatSaj_wikipedia
Delton,Conglomerates,-,Bad Homburg vor der Höhe,MalPatSaj_wikipedia
Der Spiegel,Consumer services,Publishing,Hamburg,MalPatSaj_wikipedia
Deutsche Bahn,Industrials,Railroads,Berlin,MalPatSaj_wikipedia
Deutsche Bank,Financials,Banks,Frankfurt,MalPatSaj_wikipedia
Deutsche Börse,Financials,Investment services,Frankfurt,MalPatSaj_wikipedia
Deutsche Grammophon,Consumer goods,Broadcasting & entertainment,Hanover,MalPatSaj_wikipedia
Deutsche Messe,Consumer services,Recreational services,Hanover,MalPatSaj_wikipedia
Deutsche Pfandbriefbank,Financials,Banks,Unterschleißheim,MalPatSaj_wikipedia
Deutsche Post,Industrials,Delivery services,Bonn,MalPatSaj_wikipedia
Deutsche Telekom,Telecommunications,Fixed line telecommunications,Bonn,MalPatSaj_wikipedia
Deutsche Vermögensberatung,Financials,Asset managers,Frankfurt,MalPatSaj_wikipedia
Deutz AG,Industrials,Industrial machinery,Cologne,MalPatSaj_wikipedia
DHL Express,Industrials,Delivery services,Bonn,MalPatSaj_wikipedia
Dieffenbacher,Industrials,Industrial machinery,Eppingen,MalPatSaj_wikipedia
Diehl Aerospace,Industrials,Aerospace,Überlingen,MalPatSaj_wikipedia
Diehl Defence,Industrials,Defense,Überlingen,MalPatSaj_wikipedia
Diehl Metall,Industrials,Industrial machinery,Röthenbach an der Pegnitz,MalPatSaj_wikipedia
Diezel,Consumer goods,Recreational products,Bad Steben,MalPatSaj_wikipedia
Djshop,Consumer services,Broadcasting & entertainment,Vachendorf,MalPatSaj_wikipedia
DKW,Consumer goods,Automobile,?,MalPatSaj_wikipedia
Douglas Holding,Consumer services,Specialty retailers,Hagen,MalPatSaj_wikipedia
DOVO Solingen,Consumer goods,Personal products,Solingen,MalPatSaj_wikipedia
Dr. Oetker,Consumer goods,Food products,Bielefeld,MalPatSaj_wikipedia
Dräger,Health care,Medical equipment,Lübeck,MalPatSaj_wikipedia
Dresdner Bank,Financials,Banks,Frankfurt,MalPatSaj_wikipedia
Dürr AG,Industrials,Industrial machinery,Stuttgart,MalPatSaj_wikipedia
DVB Bank,Financials,Banks,Frankfurt,MalPatSaj_wikipedia
E.ON,Utilities,Electricity,Essen,MalPatSaj_wikipedia
Eberhard Faber,Consumer goods,Nondurable household products,Neumarkt in der Oberpfalz,MalPatSaj_wikipedia
ebm-papst,Industrials,Industrial machinery,Mulfingen,MalPatSaj_wikipedia
edding,Consumer goods,Nondurable household products,Ahrensburg,MalPatSaj_wikipedia
Edeka,Consumer services,Food retailers & wholesalers,Berlin,MalPatSaj_wikipedia
ElringKlinger,Industrials,Industrial suppliers,Dettingen an der Erms,MalPatSaj_wikipedia
EnBW,Utilities,Electricity,Karlsruhe,MalPatSaj_wikipedia
EnOcean,Consumer goods,Consumer electronics,Oberhaching,MalPatSaj_wikipedia
Entwicklungsring Nord,Industrials,Aerospace,Bremen,MalPatSaj_wikipedia
Epcos,Consumer goods,Consumer electronics,Munich,MalPatSaj_wikipedia
E-Plus,Telecommunications,Mobile telecommunications,Düsseldorf,MalPatSaj_wikipedia
Eurowings,Consumer services,Airlines,Düsseldorf,MalPatSaj_wikipedia
Evonik Industries,Basic materials,Speciality chemicals,Essen,MalPatSaj_wikipedia
Faber-Castell,Consumer goods,Nondurable household products,Stein,MalPatSaj_wikipedia
Fein,Consumer goods,Durable household products,Schwäbisch Gmünd,MalPatSaj_wikipedia
Ferrostaal,Industrials,Industrial machinery,Essen,MalPatSaj_wikipedia
Festo,Industrials,Industrial machinery,Esslingen am Neckar,MalPatSaj_wikipedia
Fischertechnik,Consumer goods,Toys,Waldachtal,MalPatSaj_wikipedia
Fissler,Consumer goods,Durable household products,Idar-Oberstein,MalPatSaj_wikipedia
Focke-Achgelis,Industrials,Aerospace,Hoykenkamp,MalPatSaj_wikipedia
Focke-Wulf,Industrials,Aerospace,Bremen,MalPatSaj_wikipedia
Fond of Bags,Consumer goods,Clothing & accessories,Cologne,MalPatSaj_wikipedia
Ford Germany,Consumer goods,Automobiles,Cologne,MalPatSaj_wikipedia
Ford of Europe,Consumer goods,Automobiles,Cologne,MalPatSaj_wikipedia
Franz Haniel & Cie.,Conglomerates,-,Duisburg,MalPatSaj_wikipedia
Fraport,Industrials,Transportation services,Frankfurt,MalPatSaj_wikipedia
Freenet.de,Telecommunications,Fixed line telecommunications,Büdelsdorf,MalPatSaj_wikipedia
Fresenius,Health care,Health care providers,Bad Homburg vor der Höhe,MalPatSaj_wikipedia
Fresenius Medical Care,Health care,Health care providers,Bad Homburg vor der Höhe,MalPatSaj_wikipedia
Freudenberg Group,Conglomerates,-,Weinheim,MalPatSaj_wikipedia
FRoSTA,Consumer goods,Food products,Bremerhaven,MalPatSaj_wikipedia
Fuchs Petrolub,Basic materials,Speciality chemicals,Mannheim,MalPatSaj_wikipedia
Gardena,Consumer goods,Durable household products,Ulm,MalPatSaj_wikipedia
GEA Group,Industrials,Industrial machinery,Düsseldorf,MalPatSaj_wikipedia
Gebrüder Thonet,Consumer goods,Furnishings,Frankenberg,MalPatSaj_wikipedia
Germanwings,Consumer services,Airlines,Cologne,MalPatSaj_wikipedia
Gerolsteiner Brunnen,Consumer goods,Beverages,Gerolstein,MalPatSaj_wikipedia
Gerresheimer,Industrials,Containers & packaging,Düsseldorf,MalPatSaj_wikipedia
Getrag,Industrials,Industrial suppliers,Untergruppenbach,MalPatSaj_wikipedia
GfK AG,Industrials,Business support services,Nuremberg,MalPatSaj_wikipedia
GPC Biotech,Health care,Biotechnology,Martinsried,MalPatSaj_wikipedia
Grundig,Consumer goods,Consumer electronics,Nuremberg,MalPatSaj_wikipedia
Gruner + Jahr,Consumer services,Publishing,Hamburg,MalPatSaj_wikipedia
Hama Photo,Consumer goods,Consumer electronics,Monheim,MalPatSaj_wikipedia
Hamburg Süd,Industrials,Marine transportation,Hamburg,MalPatSaj_wikipedia
Hamburger Flugzeugbau,Industrials,Aerospace,Hamburg,MalPatSaj_wikipedia
Hannover Re,Financials,Reinsurance,Hanover,MalPatSaj_wikipedia
Hapag-Lloyd,Industrials,Marine transportation,Hamburg,MalPatSaj_wikipedia
Haribo,Consumer goods,Food products,Bonn,MalPatSaj_wikipedia
Heckler & Koch,Industrials,Defense,Oberndorf am Neckar,MalPatSaj_wikipedia
HeidelbergCement,Industrials,Building materials & fixtures,Heidelberg,MalPatSaj_wikipedia
Heidelberger Druckmaschinen,Industrials,Industrial machinery,Heidelberg,MalPatSaj_wikipedia
Heinkel,Industrials,Aerospace,Warnemünde,MalPatSaj_wikipedia
Hella,Industrials,Industrial suppliers,Lippstadt,MalPatSaj_wikipedia
Henkel,Conglomerates,-,Düsseldorf,MalPatSaj_wikipedia
Heraeus,Industrials,Industrial machinery,Hanau,MalPatSaj_wikipedia
Herrenknecht,Industrials,Industrial machinery,Schwanau,MalPatSaj_wikipedia
Hochtief,Industrials,Heavy construction,Essen,MalPatSaj_wikipedia
Hoechst,Basic materials,Specialty chemicals,Frankfurt,MalPatSaj_wikipedia
Hoesch,Mining,,Dortmund,MalPatSaj_wikipedia
Horch,Consumer goods,Automobiles,Köln-Ehrenfeld Cologne,MalPatSaj_wikipedia
Horváth & Partners,Industrials,Business support services,Stuttgart,MalPatSaj_wikipedia
Howaldtswerke-Deutsche Werft,Industrials,Commercial vehicles & trucks,Kiel,MalPatSaj_wikipedia
Hubert Burda Media,Consumer services,Publishing,Offenburg,MalPatSaj_wikipedia
Hugo Boss,Consumer goods,Clothing & accessories,Metzingen,MalPatSaj_wikipedia
HypoVereinsbank,Financials,Financial services,Munich,MalPatSaj_wikipedia
Hypo Real Estate,Financials,Real estate,Munich,MalPatSaj_wikipedia
IAV,Industrials,Industrial suppliers,Berlin,MalPatSaj_wikipedia
IG Farben,Basic materials,Commodity chemicals,Frankfurt,MalPatSaj_wikipedia
Infineon Technologies,Technology,Semiconductors,Neubiberg,MalPatSaj_wikipedia
Intershop,Consumer services,Specialty retailers,Berlin,MalPatSaj_wikipedia
J. A. Henckels,Consumer goods,Durable household products,Solingen,MalPatSaj_wikipedia
J. Schmalz,Industrials,Industrial machinery,Glatten,MalPatSaj_wikipedia
Jack Wolfskin,Consumer goods,Recreational products,Idstein,MalPatSaj_wikipedia
Jako,Consumer goods,Clothing & accessories,Mulfingen,MalPatSaj_wikipedia
Jenoptik,Industrials,Industrial machinery,Jena,MalPatSaj_wikipedia
Jil Sander,Consumer goods,Clothing & accessories,Hamburg,MalPatSaj_wikipedia
Junghans,Consumer goods,Clothing & accessories,Schramberg,MalPatSaj_wikipedia
Junkers,Industrials,Aerospace,Dessau,MalPatSaj_wikipedia
K+S,Basic materials,Speciality chemicals,Kassel,MalPatSaj_wikipedia
Kärcher,Industrials,Waste & disposal services,Winnenden,MalPatSaj_wikipedia
Katjes International,Market,Food retailers,Emmerich am Rhein,MalPatSaj_wikipedia
Kaufland,Consumer services,Food retailers & wholesalers,Neckarsulm,MalPatSaj_wikipedia
Keimfarben,Basic materials,Speciality chemicals,Diedorf,MalPatSaj_wikipedia
KfW,Financials,Banks,Frankfurt,MalPatSaj_wikipedia
Klöckner & Co SE,Industrials,Industrial machinery,Duisburg,MalPatSaj_wikipedia
Knorr,Consumer goods,Food products,Heilbronn,MalPatSaj_wikipedia
Knorr-Bremse,Industrials,Industrial suppliers,Munich,MalPatSaj_wikipedia
Koenig & Bauer,Industrials,Industrial machinery,Würzburg,MalPatSaj_wikipedia
Körber,Industrials,Industrial machinery,Hamburg,MalPatSaj_wikipedia
Krauss-Maffei,Industrials,Industrial machinery,Munich,MalPatSaj_wikipedia
Krombacher Brauerei,Consumer goods,Brewers,Kreuztal,MalPatSaj_wikipedia
Krones,Industrials,Industrial machinery,Neutraubling,MalPatSaj_wikipedia
KSB Company,Industrials,Industrial machinery,Frankenthal,MalPatSaj_wikipedia
KUKA,Industrials,Industrial machinery,Augsburg,MalPatSaj_wikipedia
Lamy,Consumer goods,Nondurable household products,Heidelberg,MalPatSaj_wikipedia
Lanxess,Basic materials,Speciality chemicals,Cologne,MalPatSaj_wikipedia
Leica Camera,Consumer goods,Recreational products,Wetzlar,MalPatSaj_wikipedia
Leidolf,Consumer goods,Recreational products,Wetzlar,MalPatSaj_wikipedia
Leoni AG,Industrials,Electrical components & equipment,Nuremberg,MalPatSaj_wikipedia
Lidl,Consumer services,Food retailers & wholesalers,Neckarsulm,MalPatSaj_wikipedia
Lindauer Dornier,Consumer goods,Clothing & accessories,Lindau,MalPatSaj_wikipedia
Linguatec,Technology,Software,Pasing,MalPatSaj_wikipedia
Linhof,Consumer goods,Recreational products,Munich,MalPatSaj_wikipedia
Loewe,Consumer goods,Consumer electronics,Kronach,MalPatSaj_wikipedia
Löwenbräu,Consumer goods,Brewers,Munich,MalPatSaj_wikipedia
LSG Sky Chefs,Industrials,Transportation services,Neu-Isenburg,MalPatSaj_wikipedia
LTU International,Consumer services,Airlines,Düsseldorf,MalPatSaj_wikipedia
Lufthansa Group,Consumer services,Airlines,Cologne,MalPatSaj_wikipedia
Lürssen,Industrials,Commercial vehicles & trucks,Bremen-Vegesack,MalPatSaj_wikipedia
Magirus,Industrials,Commercial vehicles & trucks,Ulm,MalPatSaj_wikipedia
Magix,Technology,Software,Berlin,MalPatSaj_wikipedia
Mahle GmbH,Industrials,Industrial suppliers,Stuttgart,MalPatSaj_wikipedia
MAN,Industrials,Commercial Vehicles & Trucks,Munich,MalPatSaj_wikipedia
Mannesmann,Industrials,Diversified industrials,Düsseldorf,MalPatSaj_wikipedia
Mast-Jägermeister,Consumer goods,Distillers & vintners,Wolfenbüttel,MalPatSaj_wikipedia
Meindl,Consumer goods,Clothing & accessories,Kirchanschöring,MalPatSaj_wikipedia
Meinl Percussion,Consumer goods,Recreational products,Gutenstetten,MalPatSaj_wikipedia
Meinl-Weston,Consumer goods,Recreational products,Geretsried,MalPatSaj_wikipedia
Meissen porcelain,Consumer goods,Durable household products,Meissen,MalPatSaj_wikipedia
Melitta,Consumer goods,Beverages,Minden,MalPatSaj_wikipedia
Mennekes,Industrials,Electrical components & equipment,Kirchhundem,MalPatSaj_wikipedia
Mercedes-AMG,Consumer goods,Automobiles,Affalterbach,MalPatSaj_wikipedia
Mercedes-Benz,Consumer goods,Automobiles,Stuttgart,MalPatSaj_wikipedia
Merck,Health care,Pharmaceuticals,Darmstadt,MalPatSaj_wikipedia
Messerschmitt,Industrials,Aerospace,Augsburg,MalPatSaj_wikipedia
Metro AG,Consumer services,Broadline retailers,Düsseldorf,MalPatSaj_wikipedia
Metz,Consumer goods,Consumer electronics,Zirndorf,MalPatSaj_wikipedia
Meyer Werft,Industrials,Commercial vehicles & trucks,Papenburg,MalPatSaj_wikipedia
