company_name,industry,sector,headquarters,file_name
ASML Holding,Industrials,Industrial machinery,Veldhoven,MalPatSaj_wikipedia
ASN Bank,Financials,Banks,The Hague,MalPatSaj_wikipedia
Atradius,Financials,Non-life insurance,Amsterdam,MalPatSaj_wikipedia
Australian Homemade,Consumer services,Restaurants & bars,Veenendaal,MalPatSaj_wikipedia
AVEBE,Consumer goods,Food products,Veendam,MalPatSaj_wikipedia
Bavaria Brewery,Consumer goods,Brewers,Lieshout,MalPatSaj_wikipedia
Beter Bed,Consumer services,Specialty retailers,Uden,MalPatSaj_wikipedia
Blendle,Technology,Internet,Utrecht,MalPatSaj_wikipedia
Booking.com,Consumer services,Travel & tourism,Amsterdam,MalPatSaj_wikipedia
Catawiki,Technology,Internet,Amsterdam,MalPatSaj_wikipedia
Chipshol,Real Estate,Real Estate Investment and Services,Amsterdam,MalPatSaj_wikipedia
CNH Global,Industrials,Commercial vehicles & trucks,Amsterdam,MalPatSaj_wikipedia
Corendon Dutch Airlines,Consumer services,Airlines,Lijnden,MalPatSaj_wikipedia
DAF Trucks,Consumer goods,Automobiles,Eindhoven,MalPatSaj_wikipedia
Damen Group,Industrials,Industrial transportation & Defense,Gorinchem,MalPatSaj_wikipedia
Dockwise,Industrials,Marine transportation,Breda,MalPatSaj_wikipedia
Donkervoort,Consumer goods,Automobiles,Lelystad,MalPatSaj_wikipedia
Douwe Egberts,Consumer goods,Soft drinks,Utrecht,MalPatSaj_wikipedia
DSM,Health care,Pharmaceuticals,Heerlen,MalPatSaj_wikipedia
eBuddy,Technology,Internet,Amsterdam,MalPatSaj_wikipedia
Elsevier,Consumer services,Publishing,Amsterdam,MalPatSaj_wikipedia
Endemol,Consumer services,Broadcasting & entertainment,Amsterdam,MalPatSaj_wikipedia
Exact Software,Technology,Software,Delft,MalPatSaj_wikipedia
Exor,Financials,Investment services,Amsterdam,MalPatSaj_wikipedia
Feadship,Consumer goods,Recreational products,Haarlem,MalPatSaj_wikipedia
FRABA,Industrials,Industrial Automation,Heerlen,MalPatSaj_wikipedia
FrieslandCampina,Consumer goods,Food products,Amersfoort,MalPatSaj_wikipedia
Fugro,Oil & gas,Exploration & production,Leidschendam,MalPatSaj_wikipedia
General Logistics Systems,Industrials,Delivery services,Amsterdam,MalPatSaj_wikipedia
Grolsch Brewery,Consumer goods,Brewers,Enschede,MalPatSaj_wikipedia
Guerrilla Games,Technology,Software,Amsterdam,MalPatSaj_wikipedia
G-Star Raw,Consumer goods,Apparel retailers,Amsterdam,MalPatSaj_wikipedia
Heerema Marine Contractors,Oil & gas,Oil equipment & services,Leiden,MalPatSaj_wikipedia
Heineken International,Consumer goods,Brewers,Amsterdam,MalPatSaj_wikipedia
HEMA,Consumer goods,Variety,Amsterdam,MalPatSaj_wikipedia
High-Logic,Technology,Software,De Bilt,MalPatSaj_wikipedia
Hotels.nl,Consumer services,Travel & tourism,Groningen,MalPatSaj_wikipedia
Hunkemöller,Consumer services,Apparel retailers,Hilversum,MalPatSaj_wikipedia
Hunter Douglas,Industrials,Building,Rotterdam,MalPatSaj_wikipedia
IKEA,Consumer services,Home improvement retailers,Leiden,MalPatSaj_wikipedia
ING Group,Financials,Banks,Amsterdam,MalPatSaj_wikipedia
