company_name,company_industry,company_legal_form,file_name
TCE,Engineering & Construction,Private,AmbitionBox
ZS,Management Consulting,Private,AmbitionBox
Motherson Automotive Technologies and Engineering,Auto Components,Private,AmbitionBox
Medi Assist India,Healthcare,Private,AmbitionBox
Orange Business Services,IT Services & Consulting,Private,AmbitionBox
Unacademy,EdTech,Private,AmbitionBox
iOPEX Technologies,IT Services & Consulting,Private,AmbitionBox
HCL Technologies BPO Services,BPO,Private,AmbitionBox
HDFC Securities,Financial Services,Public,AmbitionBox
Panasonic,Consumer Electronics & Appliances,Private,AmbitionBox
FactSet,Analytics & KPO,Private,AmbitionBox
Mercedes-Benz Research & Development India,Automobile,Public,AmbitionBox
Badve Engineering,Auto Components,Private,AmbitionBox
Sitel,BPO,Private,AmbitionBox
Tesco,IT Services & Consulting,Private,AmbitionBox
Torrent Power,Power,Public,AmbitionBox
KFC,Hospitality,Private,AmbitionBox
First American Corporation,IT Services & Consulting,Private,AmbitionBox
Narayana Educational Society,Education & Training,Private,AmbitionBox
Hindustan Petroleum,Oil & Gas,Government,AmbitionBox
Ocwen Financial Solutions,Financial Services,Private,AmbitionBox
Marriott International,Hospitality,Private,AmbitionBox
